ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
TEMOA-G6,1.5899023675878772,1.0212346976539273,2.1113138454162024,1.3116923076923077,0.8558461538461535,1.8230769230769228,0.39907692307692244,-0.40938461538461574,1.2499999999999996
OA-G6,1.7956451950946957,0.8070522494444419,2.527136060180905,1.3258333333333334,0.6999999999999998,2.06,0.7225000000000001,-0.14999999999999983,1.7041666666666668
OA-G0,1.8554020229229748,0.957052767615245,2.541420206629881,1.3866666666666667,0.7425,2.124166666666667,1.001666666666667,0.1541666666666671,1.911666666666667
TEMOA-G0,1.80437905364443,1.031123360522583,2.457676967569798,1.415153846153846,0.8551538461538459,2.0630769230769235,0.3248461538461542,-0.571538461538461,1.3438461538461541
OA-G7,1.6912150464483615,1.0524218102389682,2.3076376809773813,1.4225,0.9616666666666664,1.9858333333333331,-0.019166666666666554,-0.9083333333333332,0.9900000000000003
OA-G3,1.7510354079800898,1.0628773839598493,2.3997899213611733,1.4525,0.958333333333333,2.053333333333333,0.184166666666667,-0.7499999999999997,1.2158333333333338
OA-G5,2.0347010427414967,1.175957057039074,2.790013440827839,1.5525,0.8524999999999999,2.3316666666666666,0.6775000000000002,-0.38666666666666655,1.785
TEMOA-G1,1.9933676375574927,1.2639589818076802,2.7025828102305853,1.6233076923076923,1.038384615384615,2.285615384615385,0.4043846153846156,-0.6134615384615384,1.5061538461538466
TEMOA-G3,1.8346916739500232,1.3284461715738545,2.353569008319721,1.6264615384615384,1.193076923076923,2.1101538461538456,0.024307692307692672,-0.954461538461538,1.040769230769231
OA-G1,2.1047763143225775,1.1937476003466283,2.8391826875587514,1.6466666666666665,0.9583333333333334,2.4283333333333332,0.9849999999999995,-0.03833333333333363,2.0533333333333332
OA-G4,2.653287269281887,1.300512719404671,3.778261284418182,1.843333333333333,0.8433333333333332,2.9966666666666666,1.2566666666666664,-0.012500000000000325,2.6174999999999997
TEMOA-G5,2.34765290318781,1.4667432264400244,3.2336143150446275,1.8878461538461537,1.19,2.7018461538461533,0.7998461538461535,-0.3495384615384616,2.038307692307692
OA-G2,2.430738913718762,1.4527588696453835,3.2497640940023116,1.9041666666666661,1.0908333333333327,2.789999999999999,0.4424999999999992,-0.9641666666666674,1.737499999999999
CB8-G6,2.6741557716238393,1.7012856101409681,3.464585768234717,2.152727272727273,1.2418181818181815,3.102727272727273,0.3745454545454546,-1.1872727272727268,1.9472727272727275
TEMOA-G7,3.0371923269311134,1.754297667926486,4.136739407199458,2.348307692307692,1.378,3.454307692307693,1.4436923076923078,0.04046153846153858,2.934615384615385
TEMOA-G4,3.059624172496203,1.9579523055399566,4.055635205868116,2.4516153846153848,1.5076923076923079,3.494615384615384,1.6931538461538458,0.31846153846153835,3.088538461538462
CB8-G10,3.03557992063221,1.9910869576006147,3.8542738969522223,2.4581818181818176,1.4163636363636358,3.5181818181818176,1.3872727272727268,-0.2600000000000003,2.939090909090909
CB8-G9,3.3109487791540686,1.6746315741353108,4.668067538656071,2.516363636363636,1.357272727272727,3.8790909090909094,1.6163636363636364,-0.012727272727272376,3.3845454545454547
TEMOA-G2,3.219053085805012,2.1704974970304356,4.080984383511108,2.5566153846153847,1.5093846153846155,3.6192307692307697,1.7972307692307696,0.30307692307692347,3.1941538461538466
CB8-G7,3.0107776102166395,2.0758963014913467,3.807942656176334,2.607272727272727,1.739090909090909,3.5081818181818183,-0.8163636363636363,-2.4872727272727273,0.9227272727272727
CB8-G1,3.4307340852412858,2.278691809709326,4.392828866976888,2.8481818181818186,1.741818181818182,3.9918181818181817,-0.7754545454545455,-2.6999999999999997,1.2372727272727275
CB8-G8,3.5785128958066577,2.220550709744197,4.7111743372925226,2.9100000000000006,1.728181818181818,4.175454545454546,-0.4390909090909089,-2.5290909090909093,1.6627272727272726
CB8-G0,3.7472317054787863,2.3532839723555363,4.8987048381086495,3.0854545454545454,1.8818181818181818,4.382727272727273,2.447272727272727,0.7690909090909085,4.1090909090909085
CB8-G2,4.270172447018121,2.8913192962257344,5.506949328720113,3.6299999999999994,2.3463636363636358,4.982727272727273,2.851818181818181,0.9390909090909091,4.6863636363636365
CB8-G5,4.703648487175577,3.018389094744534,6.092892282293883,3.783636363636364,2.1754545454545458,5.438181818181818,3.7072727272727275,2.0345454545454555,5.411818181818183
CB8-G3,4.763549097049384,3.0461764408994614,6.185091312620578,3.943636363636364,2.4209090909090913,5.5590909090909095,1.892727272727273,-0.8363636363636363,4.325454545454545
CB8-G4,4.6437964484401615,3.1461376031861383,5.993809685455032,3.977272727272728,2.6036363636363635,5.424545454545456,1.5390909090909093,-1.0263636363636361,4.115454545454546
