ID,receipt_id,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
US/PMF/MT/MD_2,e7w4x + mknyd,0.9515513648773772,0.6360621038860905,1.220837315124337,0.7674999999999997,0.5056249999999994,1.0531249999999999,-0.46375,-0.87625,-0.06937499999999991,0.8545215473721871,0.613210051749894,0.9514321467810815,1.3864402428619658,1.1193090714736895,1.6210824432734408,0.7447763937925935,0.4415131156489995,0.9469026548672566
US/PMF/MT/MD_19,2kb3u + finzb,0.9601725105417256,0.6624811318067858,1.208351149293946,0.7656249999999999,0.48749999999999977,1.05375,-0.463125,-0.87,-0.04874999999999985,0.5985221467650262,0.15851437944136695,0.8486362763404701,0.8265617601344388,0.3394557974644192,1.2162802822353944,0.3666666666666667,-0.13043478260869568,0.7192982456140351
US/PMF/MT/MD_22,4mas4 + iyo2o,1.3031812038239348,0.7584729724914395,1.8180346531350824,0.9918750000000001,0.6187499999999999,1.4387500000000002,0.806875,0.33249999999999996,1.334375,0.327539910782504,0.006895245340017106,0.7598619480053318,0.4561034223518004,-0.04268836574786645,0.8067672425317041,0.33333333333333337,-0.14285714285714285,0.7281553398058253
US/PMF/MT/MD_9,7ihag + rkitq,1.3622316249448918,0.8656067236337754,1.7796822047770215,1.0675,0.6775,1.4993750000000001,-0.45499999999999996,-1.1025,0.14750000000000008,0.014485465807722003,7.673553100842923e-05,0.3007237506972544,0.06149749059174154,-0.227941526254198,0.313798204551442,0.06666666666666667,-0.34545454545454546,0.4414414414414415
US/PMF/MT/MD_23,7uted + zks3c,1.4614868285414002,1.1521474515008918,1.7331762749357031,1.309375,0.9887500000000002,1.6243750000000001,-0.6656249999999999,-1.2618749999999999,0.008749999999999869,0.3384609615139488,0.017249223340213886,0.7406222850083265,0.7527431990344199,0.09896207089858566,1.3741898415071532,0.3096261412396175,-0.16521739130434784,0.6964285714285714
FEP-MM,n6f0q + w2q3q,1.4970971912337554,1.1859714212855106,1.7936896925531127,1.33625,1.0189551366058116,1.683821932246091,-1.1775,-1.6204114817248394,-0.6774950404731945,0.6606770209276425,0.3105370418124447,0.8973794387199746,1.0677006313159914,0.5953534010767254,1.6543462544801382,0.6210590034081188,0.21739130434782608,0.8918918918918919
SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D,jgbg0 + ttmwo,1.593039547531699,1.0227340080874794,2.1530073090371613,1.2587499999999998,0.7849966929888701,1.808111638092672,0.29374999999999996,-0.4954871387139774,1.1051875689238049,0.7867654608143123,0.5492992851533464,0.9180625243992483,1.8655047777450597,1.2916862970511016,2.508038459121713,0.7,0.42592592592592593,0.9082568807339448
FEP-QM/MM,ahtcq + sdm0h,1.6193169856454912,1.2915044603268657,1.9947158490691685,1.45375,1.1185130281481435,1.856860580929672,-1.0225,-1.6047103560288138,-0.3198067323072621,0.7558100391111373,0.577262084063882,0.9486733534252814,1.5546024154605,0.9745868406512495,2.328909182232417,0.7666666666666667,0.504424778761062,0.9285714285714285
SOMD/AM1BCC-GAFF-TIP3P/MBAR/D,8jxan + e5rqf,1.7577542490348304,1.0684308055351721,2.386064905792539,1.33375,0.8297752585028024,1.966140809394393,1.04125,0.35003350244864473,1.7805372293009762,0.7825985099817285,0.5530704271797523,0.9373006055042812,1.7382729791794078,1.2133670433949275,2.335262099626046,0.7,0.4054054054054055,0.9107142857142856
US/PMF/MT/MD_7,4ndha + y7u8q,1.8134101163277987,1.3647573044318175,2.309801127802998,1.6168750000000003,1.2431250000000003,2.050625,1.5906250000000002,1.1825,2.0406250000000004,0.47649019516464597,0.07385145572636802,0.8702259333033154,0.4750472165684582,0.16561989706698332,0.8223293911732596,0.4537975356806497,0.06930693069306931,0.7477477477477478
US/PMF/MT/MD_12,emfe8 + tydzi,1.8178386892130998,1.3268242159381929,2.286852367338128,1.57,1.136875,2.03125,1.5199999999999998,1.0349999999999997,2.0124999999999997,0.3153806241548224,0.01316710877721707,0.7643461632880522,0.2925679880834118,0.009216088373847709,0.5737261453057659,0.3666666666666667,-0.07272727272727274,0.7431192660550457
US/PMF/MT/MD_20,uui3y + zxx8g,1.8477638512537253,1.039900836618569,2.552035951941116,1.3806249999999998,0.8337500000000002,2.0243749999999996,1.153125,0.48250000000000015,1.891875,0.32641205377807764,0.006804568581872275,0.7578605453637971,0.826247881860964,-0.07901171292183808,1.4647556224544,0.32636268941473195,-0.15044247787610618,0.7239893121866677
US/PMF/MT/MD_4,gt5n0 + m8t0b,1.9852597437111348,1.328956357447452,2.562792666213949,1.5881250000000002,1.0325,2.195625,1.555625,0.9762500000000001,2.180625,0.41891995871287885,0.04578629126975827,0.769677428563857,0.8622155275905472,0.2640969051243026,1.3809560451268452,0.35,-0.07964601769911503,0.6756756756756758
US/PMF/MT/MD_26,jomge + o3aiv,2.0046617545112193,1.2922993074361682,2.667422679291754,1.5856249999999998,1.0218749999999999,2.2249999999999996,1.495625,0.8681250000000003,2.1775,0.33499199478934427,0.010495463678472703,0.7392558263572745,0.7700367054214654,-0.03362571027759285,1.3444186910669083,0.21666666666666667,-0.23636363636363636,0.5779816513761468
AMOEBA/BAR/Tinker,8fcb6 + jgdj6,2.1730479746199807,1.3340914511381896,2.8907233091390814,1.7225000000000001,1.1181250000000003,2.41,-0.8487499999999999,-1.8543749999999999,0.10000000000000009,0.13387818281494404,0.0011696191081478247,0.484264713543689,-0.3699880596821741,-0.8252711450016655,0.10214365156063616,-0.2333333333333333,-0.5855855855855856,0.15044247787610618
US/PMF/MT/MD_25,ei3s2 + vgqcz,2.1732205364389507,1.5453761677986366,2.761723872873608,1.8900000000000001,1.40125,2.444375,1.8900000000000001,1.40125,2.444375,0.3373444898599722,0.01623185966287116,0.7414867261460064,0.5481662929250112,0.0687292230713866,1.002825870296434,0.3096261412396175,-0.16521739130434784,0.6991150442477875
US/PMF/MT/MD_21,45sgk + ftout,2.336473036437613,1.5392733675341752,3.0712039577338395,1.9218749999999998,1.3175,2.613125,1.864375,1.21125,2.585625,0.3258841260370259,0.006985013817467317,0.7582837673941529,0.8017686123883765,-0.0769870240601101,1.420747320835836,0.32636268941473195,-0.15044247787610618,0.7256921335399084
US/PMF/MT/MD_17,iaz7f + n7b3v,2.3972327796857775,1.940070874994004,2.8566599815168763,2.21875,1.784375,2.6762499999999996,2.21875,1.784375,2.6762499999999996,0.4574284583200807,0.06311832997889161,0.8293668048943437,0.3480338384508433,0.1029545392053234,0.6077367285460863,0.39330888211518983,-0.07272727272727274,0.7466151315305739
US/PMF/MT/MD_11,7fk2x + wfrgr,2.405207891222711,1.8725283709466196,2.934514440243905,2.1812500000000004,1.7037499999999999,2.695625,2.1812500000000004,1.7037499999999999,2.695625,0.31683897835692676,0.01269197769522564,0.7621442861809731,0.40745067203387725,0.01933714147914814,0.7982689379964292,0.3666666666666667,-0.07272727272727274,0.7391304347826088
US/PMF/MT/MD_6,bhhbs + egmst,2.461982179058167,1.9603937742198632,3.0208494252444953,2.2806249999999997,1.8649999999999998,2.7681249999999995,2.2806249999999997,1.8649999999999998,2.7681249999999995,0.4775858178051863,0.0775364291864151,0.8701027911144438,0.6621574978616369,0.23399759639931203,1.1490251789153332,0.46025507481564765,0.08256880733944953,0.7501196076875478
US/PMF/MT/MD_24,5rmun + aai8i,2.4633399582680426,1.7971313947510905,3.0913417394393656,2.1793750000000003,1.655,2.7731250000000003,2.1793750000000003,1.655,2.7731250000000003,0.3379414965926987,0.01745474039809029,0.7438267727945183,0.6274593872794085,0.08399015390735692,1.1454634358043938,0.3096261412396175,-0.16666666666666666,0.6965396357098658
FS-DAM/GAFF2/TIP3P,gemch + pbo45,2.4953506767586795,1.5386357593660687,3.2993597863828064,1.895,1.1425,2.7299999999999995,0.7575000000000001,-0.4581249999999998,1.8718750000000002,0.4705314355274628,0.022196018557797067,0.8915911795947986,1.7303095314369044,0.16601281419418462,2.5339329837372397,0.48333333333333334,0.017857142857142856,0.8518518518518519
US/PMF/MT/MD_27,8pxph + kv2ub,2.621428522771506,2.024503025436119,3.2181866011777505,2.3825,1.875,2.9487500000000004,2.3825,1.875,2.9487500000000004,0.33467060968234696,0.010751546300699188,0.7370486378795581,0.566073533805553,-0.014150671155612079,0.9957496171530157,0.21666666666666667,-0.2347826086956522,0.5789473684210527
SQM-opt,c8jfq + vwkb0,2.657636402896378,1.8254691177886304,3.418750685557518,2.184375,1.476875,2.955,1.1318750000000002,-0.036874999999999825,2.3187500000000005,0.09485154575187242,0.0002954429338254996,0.7010279750508192,0.6358963489808661,-0.5003740788308788,2.2456301823666167,0.3096261412396175,-0.1891891891891892,0.7614678899082569
US/PMF/MT/MD_18,70hpk + xcuey,2.864382568722272,2.4098223482240346,3.317013905608477,2.7199999999999998,2.29,3.17,2.7199999999999998,2.29,3.17,0.49419539436159465,0.09294030476466884,0.8059166966518251,0.6526241194420087,0.2731240544421656,0.9958324487606957,0.33333333333333337,-0.12280701754385966,0.663716814159292
US/PMF/MT/MD_1,4ysuf + t5gev,2.8869609886522536,2.21374964709201,3.46300989025443,2.498125,1.785625,3.198125,2.498125,1.785625,3.198125,0.8545632863757361,0.6076376714857153,0.9516574939658259,1.9085821438856834,1.535393445916724,2.2314469758729842,0.7447763937925935,0.43946630204218234,0.9469026548672566
SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/C,8pqor + iv75a,3.0302980463974167,2.138857909501238,3.8709435610085885,2.485625,1.6943627869376712,3.4048791775937106,2.350625,1.3833707353403635,3.3263247058206673,0.8202336098711567,0.5490632307676101,0.9337695786812732,2.2070900895362042,1.611762222504697,2.8180018833709024,0.7,0.41071428571428564,0.9099099099099099
DFT-opt,NB001 + bjyua,3.0620203706050027,2.2961598376419703,3.735589812867574,2.696875,2.005625,3.420625,-1.568125,-2.7981249999999998,-0.24499999999999988,0.5446051596110469,0.08495183653074523,0.8028274872086052,2.0783644029679293,0.6137909378041126,2.982204457181644,0.35,-0.07692307692307693,0.6785714285714285
US/PMF/MT/MD_14,obyj4 + rc4qr,3.069602987358463,2.371565938362246,3.7607121998366213,2.7575,2.1224999999999996,3.43875,2.71625,2.02875,3.425625,0.30901490095290957,0.007811141079267289,0.7399838056150317,0.7808126535010372,-0.04939452469594142,1.321513065127017,0.25,-0.23214285714285712,0.631578947368421
US/PMF/MT/MD_3,3cxbd + widya,3.08780362879507,2.4410205345305886,3.6994678671398136,2.8343749999999996,2.2593750000000004,3.455,2.8343749999999996,2.2593750000000004,3.455,0.41854398607523724,0.046433422748263786,0.7677365764853119,0.8547460875774311,0.267710285360196,1.3646162794333778,0.35,-0.08108108108108109,0.6756756756756758
US/PMF/MT/MD_10,hs2xm + s78rs,3.0975857534538087,2.4603099398246555,3.727093371516201,2.8725,2.341875,3.4662500000000005,2.8725,2.341875,3.4662500000000005,0.31712691234378415,0.012073077634527314,0.7631898167020947,0.5957312554807352,0.011110604817885979,1.1605465764846556,0.3666666666666667,-0.07964601769911503,0.7431192660550457
US/PMF/MT/MD_5,nb8jk + tj4jx,3.251275711163235,2.5790271906282802,3.9456265345316197,3.0143750000000002,2.461875,3.65125,3.0143750000000002,2.461875,3.65125,0.4771533026221854,0.0752457090082103,0.8701988118160341,0.9664824384566679,0.34058995646026136,1.672420220093678,0.46025507481564765,0.08108108108108109,0.7499999999999999
US/PMF/MT/MD_16,d6js7 + ogd0g,3.2796398430315485,2.8298939909473644,3.7613062890437416,3.1575,2.7456250000000004,3.6137500000000005,3.1575,2.7456250000000004,3.6137500000000005,0.45883146934663893,0.05986228748843459,0.828264397136182,0.48575521161975227,0.1419443682333329,0.8461680971992355,0.4033755872716886,-0.05638838744346009,0.7543859649122806
DDM/GAFF/AM1-BCC/TIP3P,ct5x2 + yedi3,3.37927876920505,2.133743775620681,4.562999287749232,2.6637500000000003,1.7193750000000003,3.748124999999999,1.0187499999999998,-0.6799999999999997,2.4699999999999998,0.11417874977751989,0.00036872902263702223,0.8177844652970571,0.9610176127777581,-1.3247850165383106,2.6679240910293807,0.36976095499904793,-0.1272727272727273,0.8053097345132741
US/PMF/MT/MD_13,gkdce + ikwy8,3.500617802617133,2.74447057736096,4.2303516402303964,3.1625,2.4375,3.9093750000000003,3.1425,2.390625,3.9037500000000005,0.3084310789978376,0.007466352430813675,0.7440093116390117,0.849935983932884,-0.05612008457212883,1.44077176720929,0.25,-0.2280701754385965,0.631578947368421
SOMD/AM1BCC-GAFF-TIP3P/MBAR/C,ibhca + wfs4v,3.6874872881136826,2.7453779556865077,4.546771344521233,3.23625,2.3684630973376333,4.143370408894397,3.23625,2.368452726931126,4.143351944928905,0.8131578539532079,0.567024961678562,0.9369064705135193,2.078788839739794,1.5300042949974322,2.68526297323859,0.7333333333333334,0.4,0.927927927927928
US/PMF/MT/MD_15,ib70e + m0qdw,4.405863280901939,3.899517598370342,4.946109582287882,4.293125,3.8387499999999997,4.804375,4.293125,3.8387499999999997,4.804375,0.4592024381822509,0.06249575457006129,0.8279649825206605,0.7092910126187695,0.20997324899129505,1.2376288873818393,0.39999999999999997,-0.07017543859649122,0.7523809523809525
US/PMF/MT/MD_8,e032m + mhwfc,4.900670872441854,3.3881779764351223,6.259453350732794,4.0725,2.7975,5.455,2.9725,1.03875,4.8525,0.014332644949520704,7.233402435932368e-05,0.30319817048812303,0.3832130133285012,-1.4280716318785582,1.9739347597256236,0.06666666666666667,-0.34545454545454546,0.43859649122807015
