ID,receipt_id,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D,d4twv,1.9230775524474495,1.2011748746223612,2.677695186945632,1.5063636363636363,0.8786409123044436,2.3427430661484876,-0.23727272727272714,-1.386568025371375,0.970083324203663,0.12829717575060964,0.0005958394934542462,0.7021039504023003,0.29425961882654106,-0.8064345390561566,0.7114889947697447,0.0909090909090909,-0.6250000000000001,0.64
US/PMF/MT/MD_15,wtm6p,1.9904750460859613,1.3229271951382524,2.5539505939551055,1.6863636363636365,1.0799999999999998,2.325454545454545,-0.379090909090909,-1.5399999999999998,0.7772727272727273,0.3582064574963703,0.07968400648187243,0.7202651963138057,0.7802259488659167,0.3794078776536914,2.6436825234916848,0.4909090909090909,0.08333333333333334,0.8750000000000001
SOMD/AM1BCC-GAFF-TIP3P/MBAR/D,j37ec,2.5837059359834984,1.4350066263076189,3.7829286523516052,2.020909090909091,1.0979942274324794,3.1731381012552475,-1.8336363636363635,-3.058354157235888,-0.6736385197966005,0.12514111944653536,0.0005467567460256987,0.7619414635919841,0.2443214483289763,-0.9093731552164431,0.7066290455834835,0.0909090909090909,-0.5555555555555555,0.6799999999999999
US/PMF/MT/MD_19,xdmpa,2.8806028409471387,1.6825764875225244,3.8406332337732585,2.2781818181818183,1.2927272727272727,3.3645454545454543,1.6109090909090908,0.2354545454545456,3.043636363636364,0.07529639466082998,0.0002856782872556536,0.5021465745909643,0.3170904337827724,-0.904109204674589,1.6166938668070543,0.1272727272727273,-0.44,0.6470588235294117
US/PMF/MT/MD_5,ubz3m,3.1865798137016608,2.2363810051062405,4.0046870266998615,2.7199999999999998,1.741818181818182,3.6999999999999997,-2.7199999999999998,-3.699999999999999,-1.7418181818181815,0.3853788445121887,0.0014894527753128376,0.7905532189656534,0.6681355693195501,-0.3434810598360104,1.66997428734342,0.3090909090909091,-0.21739130434782608,0.76
US/PMF/MT/MD_13,cco6p,3.2306922984513284,2.014382377711929,4.340537252041921,2.6827272727272726,1.6872727272727273,3.7972727272727274,-2.2681818181818185,-3.635454545454546,-0.9309090909090911,0.24317735777028185,0.015585844297179623,0.7457185712337906,0.6902694464632441,0.1427681633790065,3.5469418330702904,0.3090909090909091,-0.16666666666666669,0.72
US/PMF/MT/MD_2,2mgw5,3.5073533144990217,1.4186613408421334,5.247592521597621,2.441818181818182,1.1409090909090907,4.086363636363637,1.6090909090909093,-0.06636363636363632,3.5854545454545454,0.04524744684331785,0.00043315545195056807,0.6440984150524095,0.341711050125286,-2.1331733835454187,0.8097342398022253,-0.0909090909090909,-0.6470588235294117,0.48
US/PMF/MT/MD_10,8wns3,3.6653177959700227,2.5673314762786106,4.547922602683559,3.0209090909090905,1.7799999999999998,4.215454545454545,-2.9318181818181817,-4.19,-1.6118181818181818,0.22673445192819672,0.0009281636189593993,0.6638989552583991,0.616554035730944,-0.5734959019816036,1.774259289966782,0.2727272727272727,-0.29411764705882354,0.76
US/PMF/MT/MD_8,cekua,3.729394296421581,2.6752841820160813,4.6064144999613905,3.2381818181818187,2.1409090909090907,4.3100000000000005,-3.2381818181818187,-4.3100000000000005,-2.1409090909090907,0.3375610524807723,0.0011542211252260136,0.7547244581427535,0.6854396945405634,-0.3733988553288423,1.7522944305972838,0.3090909090909091,-0.2340425531914894,0.7999999999999999
SOMD/AM1BCC-GAFF-TIP3P/MBAR/C,f7duk,3.788534137247665,2.6836840165947584,5.472550715120306,3.477272727272727,2.334685285187933,4.879056077146132,2.8409090909090917,0.994642012845862,4.589367273587914,0.12500989100408233,0.0005677022005029321,0.7643732372403447,0.47840035145190846,-1.7654509035639183,1.3841826173638807,0.0909090909090909,-0.5599999999999999,0.6799999999999999
AMOEBA/BAR/Tinker,tqhg4,3.924817309008269,1.5462623557233977,5.710335923887174,2.7045454545454546,1.1781818181818178,4.524545454545454,2.264545454545454,0.5199999999999997,4.290000000000001,0.12770565451427418,0.001735187340436335,0.822979910535939,0.6569167688118972,-2.6775540275049114,1.3911020357635875,0.05454545454545454,-0.4901960784313725,0.5918367346938777
US/PMF/MT/MD_12,j8yon,4.38706051929991,3.3633668196669184,5.263776729169414,4.037272727272727,3.0154545454545456,5.042727272727273,4.037272727272727,3.0154545454545456,5.042727272727273,0.22720867381527496,0.0008482492531836993,0.6675648216527719,0.3825591990367615,-0.35212070772455467,1.0576239476145932,0.2727272727272727,-0.3023255813953489,0.76
US/PMF/MT/MD_7,dv8mj,4.408962978462685,3.6018732500035187,5.084287739514928,4.168181818181818,3.283636363636364,4.975454545454546,4.168181818181818,3.283636363636364,4.975454545454546,0.3859083652875591,0.0016410194008586426,0.78943209335087,0.4134278493095705,-0.2212367429575107,1.032603704529033,0.3090909090909091,-0.2156862745098039,0.76
HREM/BAR/RESP/Force-Matching/TIP3P,3z83m,4.651136713457554,3.385139003736106,5.972987786667289,4.241818181818181,3.0707393884924254,5.5410276094543525,2.678181818181818,0.17140226081092333,4.76905714822678,0.44172047920986024,0.04751100387384467,0.8626742056913094,1.7296559242425886,0.8359287167115675,3.9050549094145373,0.5272727272727272,0.14285714285714285,0.88
US/PMF/MT/MD_20,j6oi0,4.715662490814279,3.4871882395680647,5.832782744578658,4.161818181818182,2.838181818181818,5.444545454545454,-4.161818181818182,-5.444545454545454,-2.838181818181818,0.29988982553153565,0.05964866951026928,0.7909948512317945,0.7793500309147511,0.3009681176299314,3.611739218518203,0.4909090909090909,0.08333333333333334,0.8260869565217392
US/PMF/MT/MD_18,vrsfp,4.785828511914582,3.867338760815904,5.572153982079103,4.431818181818182,3.2909090909090906,5.420000000000001,4.431818181818182,3.2909090909090906,5.420000000000001,0.07518335147412089,0.0002803186902158553,0.5001772530350933,0.13561813231513517,-0.38950343035028906,0.6911618317793896,0.1272727272727273,-0.44,0.6444444444444444
US/PMF/MT/MD_4,2vfcf,5.052949633629846,3.916837778338309,6.055028713992423,4.682727272727273,3.5654545454545445,5.799090909090908,4.682727272727273,3.5654545454545445,5.799090909090908,0.286447809514697,0.048734315844289645,0.7509642099297938,0.6082992547917866,0.1819337394876836,2.5124485720901055,0.45454545454545453,0.0,0.84
SOMD/AM1BCC-GAFF-TIP3P/MBAR/A,46vw8,5.067950993520682,3.78115794762781,6.783707131447167,4.474545454545454,3.163759832820425,6.221454278139379,4.409090909090908,2.5909682725945014,6.144681793472489,0.12774330453205807,0.0006173546928080976,0.7697041770062444,0.4834253544349109,-1.7970871849421604,1.3480033227528343,0.05454545454545454,-0.5686274509803921,0.673469387755102
