ID,receipt_id,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D,d4twv,1.9230775524474495,1.1807085700005433,2.5161821729105247,1.5063636363636363,0.8181818181818182,2.2299999999999995,-0.23727272727272714,-1.3645454545454543,0.8627272727272729,0.12829717575060964,0.001011537042075826,0.7102060150489801,0.29425961882654106,-0.7109476960144568,0.6797707469606648,0.0909090909090909,-0.5599999999999999,0.6666666666666667
US/PMF/MT/MD_15,wtm6p,1.9904750460859613,1.3096495020354944,2.5568286464432313,1.6863636363636365,1.0681818181818181,2.3245454545454547,-0.379090909090909,-1.5245454545454542,0.7872727272727272,0.3582064574963703,0.07720970969965867,0.7237336627502527,0.7802259488659167,0.3757596207830463,2.636376644581345,0.4909090909090909,0.08,0.8775510204081634
SOMD/AM1BCC-GAFF-TIP3P/MBAR/D,j37ec,2.5837059359834984,1.4026922166125588,3.5200684394173107,2.020909090909091,1.14,3.0327272727272727,-1.8336363636363635,-2.940909090909091,-0.7890909090909091,0.12514111944653536,0.0012265459853098896,0.7491993097463644,0.2443214483289763,-0.6096230894257444,0.5709291949920432,0.0909090909090909,-0.5416666666666667,0.6538461538461539
US/PMF/MT/MD_19,xdmpa,2.8806028409471387,1.685766618161924,3.832874544350137,2.2781818181818183,1.2990909090909089,3.3645454545454543,1.6109090909090908,0.2600000000000001,3.058181818181818,0.07529639466082998,0.0002688302915291261,0.51063666167626,0.3170904337827724,-0.9216930214941771,1.6677324665768498,0.1272727272727273,-0.4509803921568627,0.6470588235294117
US/PMF/MT/MD_5,ubz3m,3.1865798137016608,2.2572207367790713,4.004374880280089,2.7199999999999998,1.749090909090909,3.6990909090909088,-2.7199999999999998,-3.6981818181818182,-1.7490909090909086,0.3853788445121887,0.0014456825988072445,0.7899600135385475,0.6681355693195501,-0.3316313871558869,1.6818597000557136,0.3090909090909091,-0.19999999999999998,0.76
US/PMF/MT/MD_13,cco6p,3.2306922984513284,2.0195386511865436,4.368846321606904,2.6827272727272726,1.6900000000000004,3.8263636363636366,-2.2681818181818185,-3.6599999999999997,-0.9236363636363635,0.24317735777028185,0.016515327989337247,0.7429982682000018,0.6902694464632441,0.14978272985370064,3.5045900812199116,0.3090909090909091,-0.16,0.72
US/PMF/MT/MD_2,2mgw5,3.5073533144990217,1.4107831480809128,5.198030221325977,2.441818181818182,1.1500000000000001,4.033636363636364,1.6090909090909093,-0.08090909090909104,3.5327272727272727,0.04524744684331785,0.0004925543797290354,0.6345093835441215,0.341711050125286,-2.1579479231989023,0.8035868510892413,-0.0909090909090909,-0.6538461538461539,0.46153846153846156
US/PMF/MT/MD_10,8wns3,3.6653177959700227,2.557205506016284,4.535466298568929,3.0209090909090905,1.7609090909090908,4.209999999999999,-2.9318181818181817,-4.180909090909092,-1.5945454545454545,0.22673445192819672,0.0009276298857263887,0.6655091673419317,0.616554035730944,-0.5715461838886523,1.7486517432176067,0.2727272727272727,-0.29411764705882354,0.76
US/PMF/MT/MD_8,cekua,3.729394296421581,2.673978989514248,4.633046317685394,3.2381818181818187,2.1436363636363636,4.342727272727274,-3.2381818181818187,-4.340909090909093,-2.141818181818182,0.3375610524807723,0.0012714366963224115,0.75650679846434,0.6854396945405634,-0.36933936845629456,1.778311337758319,0.3090909090909091,-0.2340425531914894,0.7999999999999999
AMOEBA/BAR/Tinker,tqhg4,3.732034106412825,1.9394936747217595,5.25079313736778,2.720714285714286,1.51,4.1692857142857145,1.1835714285714285,-0.5557142857142857,3.1107142857142853,0.14041672037935382,0.000495843058890878,0.731812205636897,0.8319818183492286,-1.6156095938197392,1.6570722908497297,0.14285714285714285,-0.3255813953488372,0.6000000000000001
