ID,receipt_id,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
US/PMF/MT/MD_2,e7w4x + mknyd,0.9515513648773772,0.6395408509235355,1.219054449153113,0.7674999999999997,0.5062499999999999,1.0512499999999998,-0.46375,-0.8812499999999999,-0.06625000000000011,0.8545215473721871,0.6060363806483585,0.9512224386660391,1.3864402428619658,1.1145343718795289,1.6149472776590206,0.7447763937925935,0.4366853863147931,0.9464285714285714
US/PMF/MT/MD_19,2kb3u + finzb,0.9601725105417256,0.6673361222052945,1.209336078185051,0.7656249999999999,0.49374999999999997,1.0575,-0.463125,-0.8643749999999999,-0.045000000000000207,0.5985221467650262,0.1601054162626078,0.8502244482867164,0.8265617601344388,0.33451620110274144,1.2196349350516227,0.3666666666666667,-0.10909090909090909,0.7297297297297298
US/PMF/MT/MD_22,4mas4 + iyo2o,1.3031812038239348,0.7563522658126965,1.8229114761830865,0.9918750000000001,0.6206249999999999,1.44,0.806875,0.3318749999999998,1.333125,0.327539910782504,0.007327140671090937,0.7578180106544132,0.4561034223518004,-0.056841837313419394,0.8033867901932906,0.33333333333333337,-0.14545454545454548,0.7297297297297298
US/PMF/MT/MD_9,7ihag + rkitq,1.3622316249448918,0.8650867008572027,1.7858173898806118,1.0675,0.6787499999999997,1.5031249999999998,-0.45499999999999996,-1.094375,0.16374999999999995,0.014485465807722003,6.594712155913478e-05,0.3093879252017161,0.06149749059174154,-0.22010403345528987,0.3217400391566394,0.06666666666666667,-0.3461538461538462,0.4444444444444444
US/PMF/MT/MD_23,7uted + zks3c,1.4614868285414002,1.1601858687296618,1.7354862431030675,1.309375,0.9931250000000001,1.6275,-0.6656249999999999,-1.268125,0.015625,0.3384609615139488,0.016430926101532732,0.7441816350577132,0.7527431990344199,0.1051594786903415,1.3881825482013055,0.3096261412396175,-0.1607142857142857,0.6964285714285714
FEP-MM,n6f0q + w2q3q,1.4970971912337554,1.1726758929900454,1.7852835909177007,1.33625,1.001875,1.6668749999999999,-1.1775,-1.62,-0.711875,0.6606770209276425,0.3208784901669265,0.8986299911580389,1.0677006313159914,0.6040318597403888,1.6198887198283805,0.6210590034081188,0.22541422702960337,0.9025696840865167
SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D,jgbg0 + ttmwo,1.593039547531699,1.0257740979377474,2.1183661156655615,1.2587499999999998,0.8124999999999998,1.775,0.29374999999999996,-0.46437500000000004,1.08375,0.7867654608143123,0.5962983453885597,0.9175109515653359,1.8655047777450597,1.3390591409599726,2.487136411302271,0.7,0.43362831858407075,0.894736842105263
FEP-QM/MM,ahtcq + sdm0h,1.6193169856454912,1.3037302251616323,1.8939937961883615,1.45375,1.09625,1.7937500000000002,-1.0225,-1.573125,-0.3618749999999998,0.7558100391111373,0.6024031047925279,0.9508196186971615,1.5546024154605,0.9919854150087178,2.272302631850157,0.7666666666666667,0.5675675675675675,0.9459459459459459
SOMD/AM1BCC-GAFF-TIP3P/MBAR/D,8jxan + e5rqf,1.7577542490348304,1.0606984727056035,2.36068316383203,1.33375,0.82125,1.9250000000000003,1.04125,0.3856250000000002,1.7512500000000002,0.7825985099817285,0.5760344067620471,0.9403637449782701,1.7382729791794078,1.2473385907965353,2.309540625978982,0.7,0.3928571428571428,0.9230769230769232
US/PMF/MT/MD_7,4ndha + y7u8q,1.8134101163277987,1.3658582466713007,2.292529988898728,1.6168750000000003,1.2437500000000001,2.0300000000000002,1.5906250000000002,1.185,2.0181250000000004,0.47649019516464597,0.0778674578988016,0.8693283877529635,0.4750472165684582,0.1669786096256682,0.8274498083752323,0.4537975356806497,0.07209840939145001,0.7454545454545455
US/PMF/MT/MD_12,emfe8 + tydzi,1.8178386892130998,1.334360802032194,2.2954030147231226,1.57,1.1337500000000005,2.033125,1.5199999999999998,1.0368749999999998,2.0175,0.3153806241548224,0.014091897176376439,0.7687694909682922,0.2925679880834118,0.007425514958312813,0.5776732242942377,0.3666666666666667,-0.07142857142857142,0.7431192660550457
