CB8-G3-0-DG,-11.55,-11.69,-11.91,-11.89,-11.57,-11.5,-11.39,-11.32,-11.27,-11.27,-11.26,-11.27,-11.3,-11.37,-11.36,-11.36,-11.37,-11.37,-11.35,-11.35,-11.32,-11.31,-11.33,-11.36,-11.42,-11.41,-11.45,-11.45,-11.45,-11.44,-11.44,-11.44,-11.47,-11.5,-11.5,-11.5,-11.5,-11.53,-11.51,-11.51,-11.5,-11.5,-11.5,-11.49,-11.49,-11.4,-11.41,-11.4,-11.37,-11.37,-11.37,-11.37,-11.36,-11.35,-11.35,-11.35,-11.3,-11.3,-11.31,-11.29,-11.3,-11.29,-11.32,-11.32,-11.32,-11.32,-11.32,-11.32,-11.32,-11.33,-11.36,-11.36,-11.4,-11.41,-11.41,-11.41,-11.44,-11.44,-11.5,-11.5,-11.5,-11.5,-11.49,-11.48,-11.48,-11.48,-11.47,-11.47,-11.43,-11.43,-11.43,-11.43,-11.45,-11.45,-11.45,-11.45,-11.43,-11.42,-11.42,-11.4
CB8-G3-0-dDG,0.69,0.42,0.33,0.48,0.56,0.41,0.41,0.39,0.44,0.33,0.29,0.39,0.28,0.32,0.25,0.25,0.22,0.25,0.25,0.23,0.22,0.25,0.18,0.17,0.22,0.21,0.24,0.28,0.27,0.2,0.18,0.23,0.21,0.26,0.23,0.21,0.22,0.21,0.2,0.2,0.26,0.22,0.22,0.17,0.19,0.21,0.26,0.22,0.18,0.17,0.2,0.21,0.23,0.22,0.23,0.23,0.23,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.2,0.15,0.21,0.3,0.29,0.29,0.31,0.31,0.26,0.26,0.25,0.25,0.27,0.29,0.28,0.27,0.27,0.22,0.22,0.24,0.28,0.27,0.26,0.31,0.27,0.29,0.29,0.24,0.23,0.22,0.25,0.25
CB8-G3-0-cpu_times,65400.0,130800.0,196200.0,261600.0,327000.0,392400.0,457800.0,523200.0,588600.0,654000.0,719400.0,784800.0,850200.0,915600.0,981000.0,1046400.0,1111800.0,1177200.0,1242600.0,1308000.0,1373400.0,1438800.0,1504200.0,1569600.0,1635000.0,1700400.0,1765800.0,1831200.0,1896600.0,1962000.0,2027400.0,2092800.0,2158200.0,2223600.0,2289000.0,2354400.0,2419800.0,2485200.0,2550600.0,2616000.0,2681400.0,2746800.0,2812200.0,2877600.0,2943000.0,3008400.0,3073800.0,3139200.0,3204600.0,3270000.0,3335400.0,3400800.0,3466200.0,3531600.0,3597000.0,3662400.0,3727800.0,3793200.0,3858600.0,3924000.0,3989400.0,4054800.0,4120200.0,4185600.0,4251000.0,4316400.0,4381800.0,4447200.0,4512600.0,4578000.0,4643400.0,4708800.0,4774200.0,4839600.0,4905000.0,4970400.0,5035800.0,5101200.0,5166600.0,5232000.0,5297400.0,5362800.0,5428200.0,5493600.0,5559000.0,5624400.0,5689800.0,5755200.0,5820600.0,5886000.0,5951400.0,6016800.0,6082200.0,6147600.0,6213000.0,6278400.0,6343800.0,6409200.0,6474600.0,6540000.0
CB8-G3-0-n_energy_evaluations,22022000,44044000,66066000,88088000,110110000,132132000,154154000,176176000,198198000,220220000,242242000,264264000,286286000,308308000,330330000,352352000,374374000,396396000,418418000,440440000,462462000,484484000,506506000,528528000,550550000,572572000,594594000,616616000,638638000,660660000,682682000,704704000,726726000,748748000,770770000,792792000,814814000,836836000,858858000,880880000,902902000,924924000,946946000,968968000,990990000,1013012000,1035034000,1057056000,1079078000,1101100000,1123122000,1145144000,1167166000,1189188000,1211210000,1233232000,1255254000,1277276000,1299298000,1321320000,1343342000,1365364000,1387386000,1409408000,1431430000,1453452000,1475474000,1497496000,1519518000,1541540000,1563562000,1585584000,1607606000,1629628000,1651650000,1673672000,1695694000,1717716000,1739738000,1761760000,1783782000,1805804000,1827826000,1849848000,1871870000,1893892000,1915914000,1937936000,1959958000,1981980000,2004002000,2026024000,2048046000,2070068000,2092090000,2114112000,2136134000,2158156000,2180178000,2202200000
CB8-G3-1-DG,-14.5,-11.89,-11.86,-12.39,-12.3,-12.11,-12.12,-11.99,-12.0,-11.87,-11.86,-11.96,-11.89,-11.89,-11.89,-11.89,-11.9,-11.89,-11.83,-11.87,-11.84,-11.79,-11.72,-11.66,-11.67,-11.59,-11.52,-11.53,-11.47,-11.47,-11.45,-11.37,-11.32,-11.31,-11.32,-11.32,-11.31,-11.31,-11.31,-11.31,-11.31,-11.32,-11.34,-11.34,-11.34,-11.34,-11.33,-11.33,-11.33,-11.32,-11.32,-11.28,-11.29,-11.29,-11.29,-11.29,-11.28,-11.28,-11.3,-11.3,-11.3,-11.3,-11.31,-11.35,-11.35,-11.35,-11.34,-11.34,-11.34,-11.33,-11.33,-11.31,-11.33,-11.34,-11.34,-11.34,-11.34,-11.33,-11.3,-11.3,-11.25,-11.2,-11.2,-11.22,-11.22,-11.23,-11.23,-11.2,-11.22,-11.22,-11.22,-11.2,-11.17,-11.15,-11.16,-11.16,-11.16,-11.17,-11.17,-11.17
CB8-G3-1-dDG,0.49,0.55,0.57,0.51,0.5,0.42,0.38,0.4,0.42,0.4,0.31,0.35,0.31,0.26,0.28,0.27,0.25,0.22,0.19,0.22,0.19,0.21,0.24,0.21,0.22,0.26,0.3,0.21,0.28,0.25,0.3,0.26,0.28,0.29,0.28,0.27,0.28,0.25,0.23,0.25,0.27,0.26,0.25,0.23,0.24,0.24,0.25,0.23,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.23,0.21,0.23,0.24,0.23,0.24,0.23,0.23,0.2,0.21,0.22,0.21,0.2,0.22,0.21,0.21,0.18,0.19,0.2,0.22,0.24,0.24,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.2,0.21,0.22,0.22,0.2,0.2,0.19,0.18,0.18,0.18
CB8-G3-1-cpu_times,65400.0,130800.0,196200.0,261600.0,327000.0,392400.0,457800.0,523200.0,588600.0,654000.0,719400.0,784800.0,850200.0,915600.0,981000.0,1046400.0,1111800.0,1177200.0,1242600.0,1308000.0,1373400.0,1438800.0,1504200.0,1569600.0,1635000.0,1700400.0,1765800.0,1831200.0,1896600.0,1962000.0,2027400.0,2092800.0,2158200.0,2223600.0,2289000.0,2354400.0,2419800.0,2485200.0,2550600.0,2616000.0,2681400.0,2746800.0,2812200.0,2877600.0,2943000.0,3008400.0,3073800.0,3139200.0,3204600.0,3270000.0,3335400.0,3400800.0,3466200.0,3531600.0,3597000.0,3662400.0,3727800.0,3793200.0,3858600.0,3924000.0,3989400.0,4054800.0,4120200.0,4185600.0,4251000.0,4316400.0,4381800.0,4447200.0,4512600.0,4578000.0,4643400.0,4708800.0,4774200.0,4839600.0,4905000.0,4970400.0,5035800.0,5101200.0,5166600.0,5232000.0,5297400.0,5362800.0,5428200.0,5493600.0,5559000.0,5624400.0,5689800.0,5755200.0,5820600.0,5886000.0,5951400.0,6016800.0,6082200.0,6147600.0,6213000.0,6278400.0,6343800.0,6409200.0,6474600.0,6540000.0
CB8-G3-1-n_energy_evaluations,22022000,44044000,66066000,88088000,110110000,132132000,154154000,176176000,198198000,220220000,242242000,264264000,286286000,308308000,330330000,352352000,374374000,396396000,418418000,440440000,462462000,484484000,506506000,528528000,550550000,572572000,594594000,616616000,638638000,660660000,682682000,704704000,726726000,748748000,770770000,792792000,814814000,836836000,858858000,880880000,902902000,924924000,946946000,968968000,990990000,1013012000,1035034000,1057056000,1079078000,1101100000,1123122000,1145144000,1167166000,1189188000,1211210000,1233232000,1255254000,1277276000,1299298000,1321320000,1343342000,1365364000,1387386000,1409408000,1431430000,1453452000,1475474000,1497496000,1519518000,1541540000,1563562000,1585584000,1607606000,1629628000,1651650000,1673672000,1695694000,1717716000,1739738000,1761760000,1783782000,1805804000,1827826000,1849848000,1871870000,1893892000,1915914000,1937936000,1959958000,1981980000,2004002000,2026024000,2048046000,2070068000,2092090000,2114112000,2136134000,2158156000,2180178000,2202200000
CB8-G3-2-DG,-11.08,-11.23,-11.15,-11.03,-11.02,-10.84,-10.87,-11.04,-11.35,-11.38,-11.45,-11.49,-11.42,-11.42,-11.45,-11.37,-11.37,-11.33,-11.26,-11.29,-11.3,-11.3,-11.42,-11.42,-11.42,-11.41,-11.41,-11.41,-11.4,-11.4,-11.4,-11.38,-11.34,-11.25,-11.26,-11.25,-11.25,-11.29,-11.36,-11.4,-11.4,-11.37,-11.37,-11.4,-11.4,-11.41,-11.41,-11.41,-11.41,-11.42,-11.45,-11.46,-11.46,-11.44,-11.44,-11.44,-11.39,-11.39,-11.4,-11.41,-11.41,-11.41,-11.41,-11.41,-11.43,-11.44,-11.43,-11.44,-11.44,-11.45,-11.45,-11.47,-11.47,-11.47,-11.48,-11.51,-11.51,-11.49,-11.48,-11.46,-11.46,-11.44,-11.44,-11.44,-11.45,-11.44,-11.44,-11.42,-11.41,-11.42,-11.42,-11.42,-11.42,-11.44,-11.45,-11.45,-11.43,-11.43,-11.43,-11.43
CB8-G3-2-dDG,0.55,0.32,0.15,0.31,0.24,0.35,0.2,0.32,0.47,0.44,0.42,0.44,0.37,0.39,0.39,0.35,0.36,0.38,0.42,0.26,0.3,0.26,0.36,0.35,0.31,0.27,0.26,0.22,0.27,0.28,0.27,0.24,0.23,0.28,0.27,0.24,0.25,0.29,0.26,0.26,0.25,0.22,0.2,0.19,0.2,0.18,0.2,0.2,0.22,0.22,0.22,0.24,0.22,0.18,0.15,0.15,0.21,0.25,0.21,0.19,0.18,0.19,0.21,0.2,0.2,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.22,0.19,0.2,0.25,0.2,0.15,0.12,0.11,0.08,0.11,0.13,0.22,0.24,0.19,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.19,0.2,0.16,0.14,0.14,0.1
CB8-G3-2-cpu_times,65400.0,130800.0,196200.0,261600.0,327000.0,392400.0,457800.0,523200.0,588600.0,654000.0,719400.0,784800.0,850200.0,915600.0,981000.0,1046400.0,1111800.0,1177200.0,1242600.0,1308000.0,1373400.0,1438800.0,1504200.0,1569600.0,1635000.0,1700400.0,1765800.0,1831200.0,1896600.0,1962000.0,2027400.0,2092800.0,2158200.0,2223600.0,2289000.0,2354400.0,2419800.0,2485200.0,2550600.0,2616000.0,2681400.0,2746800.0,2812200.0,2877600.0,2943000.0,3008400.0,3073800.0,3139200.0,3204600.0,3270000.0,3335400.0,3400800.0,3466200.0,3531600.0,3597000.0,3662400.0,3727800.0,3793200.0,3858600.0,3924000.0,3989400.0,4054800.0,4120200.0,4185600.0,4251000.0,4316400.0,4381800.0,4447200.0,4512600.0,4578000.0,4643400.0,4708800.0,4774200.0,4839600.0,4905000.0,4970400.0,5035800.0,5101200.0,5166600.0,5232000.0,5297400.0,5362800.0,5428200.0,5493600.0,5559000.0,5624400.0,5689800.0,5755200.0,5820600.0,5886000.0,5951400.0,6016800.0,6082200.0,6147600.0,6213000.0,6278400.0,6343800.0,6409200.0,6474600.0,6540000.0
CB8-G3-2-n_energy_evaluations,22022000,44044000,66066000,88088000,110110000,132132000,154154000,176176000,198198000,220220000,242242000,264264000,286286000,308308000,330330000,352352000,374374000,396396000,418418000,440440000,462462000,484484000,506506000,528528000,550550000,572572000,594594000,616616000,638638000,660660000,682682000,704704000,726726000,748748000,770770000,792792000,814814000,836836000,858858000,880880000,902902000,924924000,946946000,968968000,990990000,1013012000,1035034000,1057056000,1079078000,1101100000,1123122000,1145144000,1167166000,1189188000,1211210000,1233232000,1255254000,1277276000,1299298000,1321320000,1343342000,1365364000,1387386000,1409408000,1431430000,1453452000,1475474000,1497496000,1519518000,1541540000,1563562000,1585584000,1607606000,1629628000,1651650000,1673672000,1695694000,1717716000,1739738000,1761760000,1783782000,1805804000,1827826000,1849848000,1871870000,1893892000,1915914000,1937936000,1959958000,1981980000,2004002000,2026024000,2048046000,2070068000,2092090000,2114112000,2136134000,2158156000,2180178000,2202200000
