time=0.000000 en=6.63274460e+04 E_p=-2.23461588e+04 E_k=3.98558860e+03 E_x=9.14645684e-01 P=-1.19352516e+02 V=6.70260944e+04
Corr_Energy     (0.000000)	          -8.86736048e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.98558860e+03	3.98558860e+03
Self_Energy     (0.000000)	-8.86379824e+04	-8.86379824e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.04486488e+02	2.04486488e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.05932465e+02	1.05932465e+02
far_exclusion   (0.000000)	8.91342215e+04	8.91342215e+04
far_terms       (0.000000)	3.60113533e+01	3.60113533e+01
nonbonded_elec  (0.000000)	-2.33655204e+04	-2.33655204e+04
nonbonded_vdw   (0.000000)	3.03205367e+03	3.03205367e+03
pair_elec       (0.000000)	-2.86393882e+03	-2.86393882e+03
pair_vdw        (0.000000)	1.23374255e+01	1.23374255e+01
stretch         (0.000000)	3.18619065e+01	3.18619065e+01
Total           (0.000000)	6.63274456e+04	6.63274456e+04
time=0.000500 en=6.63242335e+04 E_p=-2.23493713e+04 E_k=3.98880312e+03 E_x=9.14645684e-01 P=-1.21012539e+02 V=6.70260944e+04
Corr_Energy     (0.000500)	          -8.86736048e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.98880312e+03	3.98880312e+03
Self_Energy     (0.000500)	-8.86379824e+04	-8.86379824e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.03803980e+02	2.03803980e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.05984826e+02	1.05984826e+02
far_exclusion   (0.000500)	8.91341843e+04	8.91341843e+04
far_terms       (0.000500)	3.58727657e+01	3.58727657e+01
nonbonded_elec  (0.000500)	-2.33686175e+04	-2.33686175e+04
nonbonded_vdw   (0.000500)	3.03113725e+03	3.03113725e+03
pair_elec       (0.000500)	-2.86374212e+03	-2.86374212e+03
pair_vdw        (0.000500)	1.24370066e+01	1.24370066e+01
stretch         (0.000500)	3.31728770e+01	3.31728770e+01
Total           (0.000500)	6.63242334e+04	6.63242334e+04
