time=0.000000 en=7.19193836e+04 E_p=-2.37737175e+04 E_k=4.31533247e+03 E_x=8.43684295e-01 P=2.03767748e+02 V=7.30789874e+04
Corr_Energy     (0.000000)	          -9.56931010e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.31533247e+03	4.31533247e+03
Self_Energy     (0.000000)	-9.56545851e+04	-9.56545851e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.26780954e+02	2.26780954e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.22594017e+02	1.22594017e+02
far_exclusion   (0.000000)	9.61425001e+04	9.61425001e+04
far_terms       (0.000000)	3.64351987e+01	3.64351987e+01
nonbonded_elec  (0.000000)	-2.52108625e+04	-2.52108625e+04
nonbonded_vdw   (0.000000)	3.32532024e+03	3.32532024e+03
pair_elec       (0.000000)	-2.78733571e+03	-2.78733571e+03
pair_vdw        (0.000000)	2.60295501e+01	2.60295501e+01
stretch         (0.000000)	3.79220529e+01	3.79220529e+01
Total           (0.000000)	7.19193839e+04	7.19193839e+04
time=0.000500 en=7.19214709e+04 E_p=-2.37716301e+04 E_k=4.31325658e+03 E_x=8.43684295e-01 P=2.03173533e+02 V=7.30789874e+04
Corr_Energy     (0.000500)	          -9.56931010e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.31325658e+03	4.31325658e+03
Self_Energy     (0.000500)	-9.56545851e+04	-9.56545851e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.27383993e+02	2.27383993e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.22376915e+02	1.22376915e+02
far_exclusion   (0.000500)	9.61424766e+04	9.61424766e+04
far_terms       (0.000500)	3.67496087e+01	3.67496087e+01
nonbonded_elec  (0.000500)	-2.52093265e+04	-2.52093265e+04
nonbonded_vdw   (0.000500)	3.32268732e+03	3.32268732e+03
pair_elec       (0.000500)	-2.78725990e+03	-2.78725990e+03
pair_vdw        (0.000500)	2.60666171e+01	2.60666171e+01
stretch         (0.000500)	4.03160107e+01	4.03160107e+01
Total           (0.000500)	7.19214707e+04	7.19214707e+04
