time=0.000000 en=4.59915106e+04 E_p=-1.46967061e+04 E_k=2.72872351e+03 E_x=1.53124034e+00 P=2.82379638e+02 V=4.57151189e+04
Corr_Energy     (0.000000)	          -6.06882167e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	2.72872351e+03	2.72872351e+03
Self_Energy     (0.000000)	-6.06648129e+04	-6.06648129e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.69748851e+01	1.69748851e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.21360490e+01	1.21360490e+01
far_exclusion   (0.000000)	6.01913640e+04	6.01913640e+04
far_terms       (0.000000)	2.28997044e+01	2.28997044e+01
nonbonded_elec  (0.000000)	-1.63815575e+04	-1.63815575e+04
nonbonded_vdw   (0.000000)	2.20653770e+03	2.20653770e+03
pair_elec       (0.000000)	-9.83106495e+01	-9.83106495e+01
pair_vdw        (0.000000)	1.33637573e+01	1.33637573e+01
stretch         (0.000000)	8.10279679e+00	8.10279679e+00
Total           (0.000000)	4.59915107e+04	4.59915107e+04
time=0.000500 en=4.59857818e+04 E_p=-1.47024349e+04 E_k=2.73443588e+03 E_x=1.53124034e+00 P=2.43980042e+02 V=4.57151189e+04
Corr_Energy     (0.000500)	          -6.06882167e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	2.73443588e+03	2.73443588e+03
Self_Energy     (0.000500)	-6.06648129e+04	-6.06648129e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.63454685e+01	1.63454685e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.22720927e+01	1.22720927e+01
far_exclusion   (0.000500)	6.01913590e+04	6.01913590e+04
far_terms       (0.000500)	2.27889768e+01	2.27889768e+01
nonbonded_elec  (0.000500)	-1.63871545e+04	-1.63871545e+04
nonbonded_vdw   (0.000500)	2.20615738e+03	2.20615738e+03
pair_elec       (0.000500)	-9.82595042e+01	-9.82595042e+01
pair_vdw        (0.000500)	1.33024258e+01	1.33024258e+01
stretch         (0.000500)	8.97030592e+00	8.97030592e+00
Total           (0.000500)	4.59857816e+04	4.59857816e+04
