time=0.000000 en=5.43795559e+04 E_p=-1.71373740e+04 E_k=3.22401478e+03 E_x=2.05546756e-01 P=-5.82885809e+02 V=5.45786710e+04
Corr_Energy     (0.000000)	          -7.15169300e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.22401478e+03	3.22401478e+03
Self_Energy     (0.000000)	-7.14899319e+04	-7.14899319e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.76530176e+01	2.76530176e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.73866558e+01	1.73866558e+01
far_exclusion   (0.000000)	7.08485220e+04	7.08485220e+04
far_terms       (0.000000)	2.85726127e+01	2.85726127e+01
nonbonded_elec  (0.000000)	-1.91426160e+04	-1.91426160e+04
nonbonded_vdw   (0.000000)	2.47130345e+03	2.47130345e+03
pair_elec       (0.000000)	9.79136125e+01	9.79136125e+01
pair_vdw        (0.000000)	1.69580561e+01	1.69580561e+01
stretch         (0.000000)	1.38628958e+01	1.38628958e+01
Total           (0.000000)	5.43795563e+04	5.43795563e+04
time=0.000500 en=5.43772673e+04 E_p=-1.71396627e+04 E_k=3.22632167e+03 E_x=2.05546756e-01 P=-6.04833593e+02 V=5.45786710e+04
Corr_Energy     (0.000500)	          -7.15169300e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.22632167e+03	3.22632167e+03
Self_Energy     (0.000500)	-7.14899319e+04	-7.14899319e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.79054540e+01	2.79054540e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.72100999e+01	1.72100999e+01
far_exclusion   (0.000500)	7.08485198e+04	7.08485198e+04
far_terms       (0.000500)	2.84144844e+01	2.84144844e+01
nonbonded_elec  (0.000500)	-1.91464380e+04	-1.91464380e+04
nonbonded_vdw   (0.000500)	2.47241729e+03	2.47241729e+03
pair_elec       (0.000500)	9.78897552e+01	9.78897552e+01
pair_vdw        (0.000500)	1.68599160e+01	1.68599160e+01
stretch         (0.000500)	1.44884475e+01	1.44884475e+01
Total           (0.000500)	5.43772672e+04	5.43772672e+04
