time=0.000000 en=6.51207086e+04 E_p=-2.17174448e+04 E_k=3.95293080e+03 E_x=1.56771897e+00 P=-3.22474826e+02 V=6.63763661e+04
Corr_Energy     (0.000000)	          -8.68381534e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.95293080e+03	3.95293080e+03
Self_Energy     (0.000000)	-8.68024498e+04	-8.68024498e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.55262349e+02	2.55262349e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.23503263e+02	1.23503263e+02
far_exclusion   (0.000000)	8.73112546e+04	8.73112546e+04
far_terms       (0.000000)	3.71543622e+01	3.71543622e+01
nonbonded_elec  (0.000000)	-2.26826585e+04	-2.26826585e+04
nonbonded_vdw   (0.000000)	2.80724785e+03	2.80724785e+03
pair_elec       (0.000000)	-2.80588555e+03	-2.80588555e+03
pair_vdw        (0.000000)	2.35711785e+01	2.35711785e+01
stretch         (0.000000)	5.12589204e+01	5.12589204e+01
Total           (0.000000)	6.51207084e+04	6.51207084e+04
time=0.000500 en=6.51191680e+04 E_p=-2.17189854e+04 E_k=3.95452537e+03 E_x=1.56771897e+00 P=-3.45145075e+02 V=6.63763661e+04
Corr_Energy     (0.000500)	          -8.68381534e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.95452537e+03	3.95452537e+03
Self_Energy     (0.000500)	-8.68024498e+04	-8.68024498e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.55005188e+02	2.55005188e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.23013629e+02	1.23013629e+02
far_exclusion   (0.000500)	8.73112583e+04	8.73112583e+04
far_terms       (0.000500)	3.71560295e+01	3.71560295e+01
nonbonded_elec  (0.000500)	-2.26855618e+04	-2.26855618e+04
nonbonded_vdw   (0.000500)	2.80674868e+03	2.80674868e+03
pair_elec       (0.000500)	-2.80586945e+03	-2.80586945e+03
pair_vdw        (0.000500)	2.35416044e+01	2.35416044e+01
stretch         (0.000500)	5.38757600e+01	5.38757600e+01
Total           (0.000500)	6.51191680e+04	6.51191680e+04
