time=0.000000 en=6.64604119e+04 E_p=-2.09978507e+04 E_k=3.94609069e+03 E_x=1.35857168e+00 P=-1.44065012e+02 V=6.71805530e+04
Corr_Energy     (0.000000)	          -8.74582626e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	3.94609069e+03	3.94609069e+03
Self_Energy     (0.000000)	-8.74250446e+04	-8.74250446e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	4.66844995e+01	4.66844995e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.56497309e+01	1.56497309e+01
far_exclusion   (0.000000)	8.66858449e+04	8.66858449e+04
far_terms       (0.000000)	3.64844731e+01	3.64844731e+01
nonbonded_elec  (0.000000)	-2.34679583e+04	-2.34679583e+04
nonbonded_vdw   (0.000000)	3.11096096e+03	3.11096096e+03
pair_elec       (0.000000)	6.40137503e+00	6.40137503e+00
pair_vdw        (0.000000)	1.03554516e+01	1.03554516e+01
stretch         (0.000000)	1.59893774e+01	1.59893774e+01
Total           (0.000000)	6.64604124e+04	6.64604124e+04
time=0.000500 en=6.64611680e+04 E_p=-2.09970946e+04 E_k=3.94533911e+03 E_x=1.35857168e+00 P=-1.41089386e+02 V=6.71805530e+04
Corr_Energy     (0.000500)	          -8.74582626e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	3.94533911e+03	3.94533911e+03
Self_Energy     (0.000500)	-8.74250446e+04	-8.74250446e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	4.58457989e+01	4.58457989e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.56393883e+01	1.56393883e+01
far_exclusion   (0.000500)	8.66858403e+04	8.66858403e+04
far_terms       (0.000500)	3.64882832e+01	3.64882832e+01
nonbonded_elec  (0.000500)	-2.34690944e+04	-2.34690944e+04
nonbonded_vdw   (0.000500)	3.11281147e+03	3.11281147e+03
pair_elec       (0.000500)	6.29926445e+00	6.29926445e+00
pair_vdw        (0.000500)	1.03270877e+01	1.03270877e+01
stretch         (0.000500)	1.70102020e+01	1.70102020e+01
Total           (0.000500)	6.64611674e+04	6.64611674e+04
