time=0.000000 en=3.15124133e+04 E_p=-9.95408745e+03 E_k=1.83064874e+03 E_x=9.84144209e-01 P=1.28118768e+02 V=3.11748240e+04
Corr_Energy     (0.000000)	          -4.14665007e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.83064874e+03	1.83064874e+03
Self_Energy     (0.000000)	-4.14506371e+04	-4.14506371e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	3.58373975e+01	3.58373975e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.97603632e+01	1.97603632e+01
far_exclusion   (0.000000)	4.11217327e+04	4.11217327e+04
far_terms       (0.000000)	1.44430621e+01	1.44430621e+01
nonbonded_elec  (0.000000)	-1.11877663e+04	-1.11877663e+04
nonbonded_vdw   (0.000000)	1.49924715e+03	1.49924715e+03
pair_elec       (0.000000)	-2.18078959e+00	-2.18078959e+00
pair_vdw        (0.000000)	6.81929324e+00	6.81929324e+00
stretch         (0.000000)	4.52015347e+00	4.52015347e+00
Total           (0.000000)	3.15124130e+04	3.15124130e+04
time=0.000500 en=3.15098087e+04 E_p=-9.95669203e+03 E_k=1.83325075e+03 E_x=9.84144209e-01 P=1.11761848e+02 V=3.11748240e+04
Corr_Energy     (0.000500)	          -4.14665007e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.83325075e+03	1.83325075e+03
Self_Energy     (0.000500)	-4.14506371e+04	-4.14506371e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	3.61323128e+01	3.61323128e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.97914061e+01	1.97914061e+01
far_exclusion   (0.000500)	4.11217397e+04	4.11217397e+04
far_terms       (0.000500)	1.42544552e+01	1.42544552e+01
nonbonded_elec  (0.000500)	-1.11901207e+04	-1.11901207e+04
nonbonded_vdw   (0.000500)	1.49794556e+03	1.49794556e+03
pair_elec       (0.000500)	-2.17002413e+00	-2.17002413e+00
pair_vdw        (0.000500)	6.83682358e+00	6.83682358e+00
stretch         (0.000500)	5.39917274e+00	5.39917274e+00
Total           (0.000500)	3.15098087e+04	3.15098087e+04
