time=0.000000 en=6.60586434e+04 E_p=-2.21973526e+04 E_k=4.01566196e+03 E_x=1.10041164e+00 P=7.30882823e+01 V=6.64749397e+04
Corr_Energy     (0.000000)	          -8.82559960e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.01566196e+03	4.01566196e+03
Self_Energy     (0.000000)	-8.82203599e+04	-8.82203599e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	2.02531313e+02	2.02531313e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.09844697e+02	1.09844697e+02
far_exclusion   (0.000000)	8.87700579e+04	8.87700579e+04
far_terms       (0.000000)	3.42114640e+01	3.42114640e+01
nonbonded_elec  (0.000000)	-2.33074171e+04	-2.33074171e+04
nonbonded_vdw   (0.000000)	3.04098112e+03	3.04098112e+03
pair_elec       (0.000000)	-2.85388216e+03	-2.85388216e+03
pair_vdw        (0.000000)	1.71615779e+01	1.71615779e+01
stretch         (0.000000)	4.51542868e+01	4.51542868e+01
Total           (0.000000)	6.60586431e+04	6.60586431e+04
time=0.000500 en=6.60620232e+04 E_p=-2.21939728e+04 E_k=4.01227540e+03 E_x=1.10041164e+00 P=6.34955353e+01 V=6.64749397e+04
Corr_Energy     (0.000500)	          -8.82559960e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.01227540e+03	4.01227540e+03
Self_Energy     (0.000500)	-8.82203599e+04	-8.82203599e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	2.03411784e+02	2.03411784e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.10013638e+02	1.10013638e+02
far_exclusion   (0.000500)	8.87700365e+04	8.87700365e+04
far_terms       (0.000500)	3.42958724e+01	3.42958724e+01
nonbonded_elec  (0.000500)	-2.33030160e+04	-2.33030160e+04
nonbonded_vdw   (0.000500)	3.03924257e+03	3.03924257e+03
pair_elec       (0.000500)	-2.85376345e+03	-2.85376345e+03
pair_vdw        (0.000500)	1.71998271e+01	1.71998271e+01
stretch         (0.000500)	4.46028077e+01	4.46028077e+01
Total           (0.000500)	6.60620236e+04	6.60620236e+04
