time=0.000000 en=8.07293331e+04 E_p=-2.68849962e+04 E_k=4.89408592e+03 E_x=7.96384192e-01 P=1.24873613e+02 V=8.21578823e+04
Corr_Energy     (0.000000)	          -1.07614329e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.89408592e+03	4.89408592e+03
Self_Energy     (0.000000)	-1.07571395e+05	-1.07571395e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.01062659e+02	1.01062659e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.33866021e+02	1.33866021e+02
far_exclusion   (0.000000)	1.06087616e+05	1.06087616e+05
far_terms       (0.000000)	3.93289262e+01	3.93289262e+01
nonbonded_elec  (0.000000)	-2.95466197e+04	-2.95466197e+04
nonbonded_vdw   (0.000000)	3.73818740e+03	3.73818740e+03
pair_elec       (0.000000)	5.02704941e+01	5.02704941e+01
pair_vdw        (0.000000)	7.62222921e+01	7.62222921e+01
stretch         (0.000000)	4.93986412e+01	4.93986412e+01
Total           (0.000000)	8.07293326e+04	8.07293326e+04
time=0.000500 en=8.07273432e+04 E_p=-2.68869861e+04 E_k=4.89608572e+03 E_x=7.96384192e-01 P=1.09026102e+02 V=8.21578823e+04
Corr_Energy     (0.000500)	          -1.07614329e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.89608572e+03	4.89608572e+03
Self_Energy     (0.000500)	-1.07571395e+05	-1.07571395e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.00752310e+02	1.00752310e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.34173583e+02	1.34173583e+02
far_exclusion   (0.000500)	1.06087625e+05	1.06087625e+05
far_terms       (0.000500)	3.89888403e+01	3.89888403e+01
nonbonded_elec  (0.000500)	-2.95483905e+04	-2.95483905e+04
nonbonded_vdw   (0.000500)	3.73832892e+03	3.73832892e+03
pair_elec       (0.000500)	5.01473530e+01	5.01473530e+01
pair_vdw        (0.000500)	7.61992536e+01	7.61992536e+01
stretch         (0.000500)	4.95186211e+01	4.95186211e+01
Total           (0.000500)	8.07273429e+04	8.07273429e+04
