time=0.000000 en=3.33179961e+04 E_p=-1.06395311e+04 E_k=1.94875638e+03 E_x=9.39395139e-01 P=-1.04751457e+02 V=3.31903068e+04
Corr_Energy     (0.000000)	          -4.39575272e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	1.94875638e+03	1.94875638e+03
Self_Energy     (0.000000)	-4.39410126e+04	-4.39410126e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.11429838e+01	1.11429838e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	5.80652296e+00	5.80652296e+00
far_exclusion   (0.000000)	4.35778243e+04	4.35778243e+04
far_terms       (0.000000)	1.63414259e+01	1.63414259e+01
nonbonded_elec  (0.000000)	-1.18796031e+04	-1.18796031e+04
nonbonded_vdw   (0.000000)	1.58220461e+03	1.58220461e+03
pair_elec       (0.000000)	-2.25991271e-02	-2.25991271e-02
pair_vdw        (0.000000)	2.21736543e+00	2.21736543e+00
stretch         (0.000000)	2.08496883e+00	2.08496883e+00
Total           (0.000000)	3.33179965e+04	3.33179965e+04
time=0.000500 en=3.33184995e+04 E_p=-1.06390277e+04 E_k=1.94822670e+03 E_x=9.39395139e-01 P=-7.86357110e+01 V=3.31903068e+04
Corr_Energy     (0.000500)	          -4.39575272e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	1.94822670e+03	1.94822670e+03
Self_Energy     (0.000500)	-4.39410126e+04	-4.39410126e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.10951323e+01	1.10951323e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	5.79153414e+00	5.79153414e+00
far_exclusion   (0.000500)	4.35778204e+04	4.35778204e+04
far_terms       (0.000500)	1.63842003e+01	1.63842003e+01
nonbonded_elec  (0.000500)	-1.18787052e+04	-1.18787052e+04
nonbonded_vdw   (0.000500)	1.58165356e+03	1.58165356e+03
pair_elec       (0.000500)	-2.44148374e-02	-2.44148374e-02
pair_vdw        (0.000500)	2.21497067e+00	2.21497067e+00
stretch         (0.000500)	2.26930813e+00	2.26930813e+00
Total           (0.000500)	3.33184994e+04	3.33184994e+04
