time=0.000000 en=8.04494862e+04 E_p=-2.70871052e+04 E_k=4.85442437e+03 E_x=8.39159805e-01 P=-6.02946985e+01 V=8.20994961e+04
Corr_Energy     (0.000000)	          -1.07536591e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	4.85442437e+03	4.85442437e+03
Self_Energy     (0.000000)	-1.07493697e+05	-1.07493697e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.09417141e+02	1.09417141e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.24827311e+02	1.24827311e+02
far_exclusion   (0.000000)	1.05993649e+05	1.05993649e+05
far_terms       (0.000000)	3.91451316e+01	3.91451316e+01
nonbonded_elec  (0.000000)	-2.99242344e+04	-2.99242344e+04
nonbonded_vdw   (0.000000)	3.88855908e+03	3.88855908e+03
pair_elec       (0.000000)	8.91317125e+01	8.91317125e+01
pair_vdw        (0.000000)	7.37047702e+01	7.37047702e+01
stretch         (0.000000)	5.52868553e+01	5.52868553e+01
Total           (0.000000)	8.04494861e+04	8.04494861e+04
time=0.000500 en=8.04515191e+04 E_p=-2.70850723e+04 E_k=4.85238852e+03 E_x=8.39159805e-01 P=-1.10762287e+02 V=8.20994961e+04
Corr_Energy     (0.000500)	          -1.07536591e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	4.85238852e+03	4.85238852e+03
Self_Energy     (0.000500)	-1.07493697e+05	-1.07493697e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.10724152e+02	1.10724152e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.25088201e+02	1.25088201e+02
far_exclusion   (0.000500)	1.05993616e+05	1.05993616e+05
far_terms       (0.000500)	3.88541444e+01	3.88541444e+01
nonbonded_elec  (0.000500)	-2.99253405e+04	-2.99253405e+04
nonbonded_vdw   (0.000500)	3.88754086e+03	3.88754086e+03
pair_elec       (0.000500)	8.93216202e+01	8.93216202e+01
pair_vdw        (0.000500)	7.38374067e+01	7.38374067e+01
stretch         (0.000500)	5.78773702e+01	5.78773702e+01
Total           (0.000500)	8.04515194e+04	8.04515194e+04
