time=0.000000 en=3.71528429e+04 E_p=-1.17215302e+04 E_k=2.12879730e+03 E_x=1.41116695e+00 P=-2.89221373e+02 V=3.73914436e+04
Corr_Energy     (0.000000)	          -4.88743731e+04
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	2.12879730e+03	2.12879730e+03
Self_Energy     (0.000000)	-4.88561549e+04	-4.88561549e+04
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.03322541e+01	1.03322541e+01
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.22731556e+01	1.22731556e+01
far_exclusion   (0.000000)	4.84426432e+04	4.84426432e+04
far_terms       (0.000000)	2.14497791e+01	2.14497791e+01
nonbonded_elec  (0.000000)	-1.31246703e+04	-1.31246703e+04
nonbonded_vdw   (0.000000)	1.73294751e+03	1.73294751e+03
pair_elec       (0.000000)	4.84722249e+01	4.84722249e+01
pair_vdw        (0.000000)	6.14397722e+00	6.14397722e+00
stretch         (0.000000)	3.25034116e+00	3.25034116e+00
Total           (0.000000)	3.71528422e+04	3.71528422e+04
time=0.000500 en=3.71530617e+04 E_p=-1.17213115e+04 E_k=2.12857097e+03 E_x=1.41116695e+00 P=-2.76559417e+02 V=3.73914436e+04
Corr_Energy     (0.000500)	          -4.88743731e+04
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	2.12857097e+03	2.12857097e+03
Self_Energy     (0.000500)	-4.88561549e+04	-4.88561549e+04
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.05533378e+01	1.05533378e+01
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.21999939e+01	1.21999939e+01
far_exclusion   (0.000500)	4.84426338e+04	4.84426338e+04
far_terms       (0.000500)	2.14378144e+01	2.14378144e+01
nonbonded_elec  (0.000500)	-1.31270352e+04	-1.31270352e+04
nonbonded_vdw   (0.000500)	1.73547764e+03	1.73547764e+03
pair_elec       (0.000500)	4.85604084e+01	4.85604084e+01
pair_vdw        (0.000500)	6.11743874e+00	6.11743874e+00
stretch         (0.000500)	3.11603507e+00	3.11603507e+00
Total           (0.000500)	3.71530613e+04	3.71530613e+04
