time=0.000000 en=8.70587227e+04 E_p=-2.92154430e+04 E_k=5.22843392e+03 E_x=1.14502386e+00 P=-3.52001904e+02 V=8.86753357e+04
Corr_Energy     (0.000000)	          -1.16274166e+05
 (group)        (0.000000)	      0   	total
Kinetic         (0.000000)	5.22843392e+03	5.22843392e+03
Self_Energy     (0.000000)	-1.16227890e+05	-1.16227890e+05
 (pair)         (0.000000)	   ( 0, 0)   	total
angle           (0.000000)	1.08603828e+02	1.08603828e+02
constraints     (0.000000)	0.00000000e+00	0.00000000e+00
dihedral        (0.000000)	1.30788250e+02	1.30788250e+02
far_exclusion   (0.000000)	1.14575570e+05	1.14575570e+05
far_terms       (0.000000)	4.55021345e+01	4.55021345e+01
nonbonded_elec  (0.000000)	-3.21601984e+04	-3.21601984e+04
nonbonded_vdw   (0.000000)	4.11638421e+03	4.11638421e+03
pair_elec       (0.000000)	1.08252723e+02	1.08252723e+02
pair_vdw        (0.000000)	7.49323780e+01	7.49323780e+01
stretch         (0.000000)	5.88873852e+01	5.88873852e+01
Total           (0.000000)	8.70587225e+04	8.70587225e+04
time=0.000500 en=8.70599653e+04 E_p=-2.92142004e+04 E_k=5.22718550e+03 E_x=1.14502386e+00 P=-3.69995001e+02 V=8.86753357e+04
Corr_Energy     (0.000500)	          -1.16274166e+05
 (group)        (0.000500)	      0   	total
Kinetic         (0.000500)	5.22718550e+03	5.22718550e+03
Self_Energy     (0.000500)	-1.16227890e+05	-1.16227890e+05
 (pair)         (0.000500)	   ( 0, 0)   	total
angle           (0.000500)	1.07933897e+02	1.07933897e+02
constraints     (0.000500)	0.00000000e+00	0.00000000e+00
dihedral        (0.000500)	1.30830636e+02	1.30830636e+02
far_exclusion   (0.000500)	1.14575568e+05	1.14575568e+05
far_terms       (0.000500)	4.51066674e+01	4.51066674e+01
nonbonded_elec  (0.000500)	-3.21619857e+04	-3.21619857e+04
nonbonded_vdw   (0.000500)	4.11769224e+03	4.11769224e+03
pair_elec       (0.000500)	1.08169448e+02	1.08169448e+02
pair_vdw        (0.000500)	7.49345413e+01	7.49345413e+01
stretch         (0.000500)	6.17155126e+01	6.17155126e+01
Total           (0.000500)	8.70599657e+04	8.70599657e+04
