,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM07,0.3,0.192,0.40800000000000003,0.3250230761038361,0.203469899493758,0.412165015497434
1,SM04,0.308,0.13200000000000012,0.4959999999999999,0.37347021300232225,0.14449913494550767,0.521075810223426
6,SM12,0.33399999999999996,0.10800000000000001,0.5599999999999999,0.42527638072199586,0.12409673645990858,0.5933801479658718
9,SM15,0.34799999999999986,0.1499999999999999,0.6259999999999999,0.44519658579104116,0.18406520583749655,0.6936713919428995
4,SM09,0.4299999999999999,0.2339999999999997,0.6439999999999999,0.4895508145228644,0.25278449319529056,0.6704028639556964
3,SM08,0.438,0.16599999999999993,0.7100000000000001,0.5441874676984026,0.23302360395462077,0.7691943837548479
0,SM02,0.48,0.3859999999999998,0.5740000000000002,0.49185363676606075,0.39117770897636767,0.575169540222707
8,SM14,0.6900000000000001,0.372,0.9940000000000001,0.7650751597065482,0.4616492174801123,1.0225751806102084
10,SM16,0.722,0.3439999999999999,1.1,0.8436705518151026,0.40924320397533787,1.1406664718488047
5,SM11,0.7700000000000001,0.5200000000000001,1.098,0.8350209578208203,0.540370243444252,1.1480505215364
7,SM13,0.836,0.37600000000000006,1.3439999999999999,0.9993197686426503,0.47505789120906106,1.420704050814243
