,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM07,0.4574999999999999,0.19624999999999992,0.7312499999999997,0.5992078103629824,0.30376800358168077,0.8226709548780725
10,SM16,0.585,0.27999999999999986,0.92875,0.7487990384609211,0.34678884065090665,1.0658564631318797
9,SM15,0.6125,0.41375,0.79125,0.6694960791520739,0.4940394721072396,0.8085944595407515
0,SM02,0.7000000000000002,0.42625,1.0137500000000002,0.8234986338786484,0.4601494322500029,1.1197656004718133
8,SM14,0.7275,0.46124999999999994,1.0025,0.831594853278927,0.5325176053427717,1.0756800174773167
1,SM04,0.80375,0.47375,1.17625,0.9514134222303151,0.5460883628131991,1.302416024164322
6,SM12,1.1412499999999999,0.7437499999999998,1.5525000000000002,1.2821710104350355,0.8831477792532797,1.6190506477562705
5,SM11,1.18625,0.8512500000000001,1.5,1.2743871075932933,0.9563341466244943,1.5331544279686897
4,SM09,1.5212500000000002,1.0837500000000002,1.9887500000000005,1.6589040056615696,1.155124452169549,2.087223035518725
7,SM13,2.3262500000000004,1.6700000000000004,2.955,2.4978515768555987,1.7931257624606258,3.029341925237229
3,SM08,5.57,5.26125,5.8825,5.588170541420511,5.274296161574547,5.899636641353433
