,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM07,0.3969230769230769,0.23230769230769227,0.5838461538461538,0.5114534342289778,0.3057273798161211,0.6948215044721363
9,SM15,0.5107692307692308,0.3476923076923076,0.676153846153846,0.5933477382290577,0.4311523021999392,0.72816946463771
1,SM04,0.6130769230769231,0.3707692307692308,0.8992307692307693,0.7814631247759649,0.45598582973934276,1.0833814584971375
0,SM02,0.6153846153846155,0.446923076923077,0.8315384615384617,0.7144013093277691,0.4716664401557852,0.951189538662794
10,SM16,0.6376923076923077,0.40307692307692294,0.8946153846153846,0.7866433069108847,0.5172337665222266,1.0167179474246455
8,SM14,0.713076923076923,0.5138461538461538,0.916923076923077,0.8066597795849252,0.6028904735330647,0.988903822032643
6,SM12,0.8307692307692306,0.5023076923076922,1.1838461538461538,1.0398224700547538,0.6702812268569984,1.3518704990323025
5,SM11,1.0261538461538464,0.7769230769230769,1.283076923076923,1.1258774356030057,0.8649321894274097,1.3558959569796813
4,SM09,1.1015384615384618,0.7207692307692308,1.5315384615384615,1.336297986113991,0.8657500083298165,1.7500175823292574
7,SM13,1.7530769230769236,1.180769230769231,2.3538461538461535,2.055149255294725,1.4362263588467363,2.58388794708225
3,SM08,3.5961538461538467,2.243076923076923,4.907692307692308,4.396693687831276,3.305201029612851,5.2528966368017445
