,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
10,0.8894117647058825,0.5235294117647058,1.3035294117647058,SM16,1.210580803727261,0.7292502193026349,1.6063495334233493
8,1.0347058823529411,0.3958823529411766,1.9111764705882355,SM14,1.9261436633243914,0.47146829473589896,3.00525128635155
2,1.1652941176470588,0.593529411764706,1.8494117647058823,SM07,1.7693252286411005,0.8610117168021515,2.4944361616818105
0,1.1817647058823528,0.6441176470588236,1.7729411764705885,SM02,1.6929594693039411,1.006116587794523,2.22990371725671
7,1.2205882352941178,0.6723529411764707,1.9176470588235295,SM13,1.7883758652179687,0.8197560612767679,2.527190953934241
6,1.2311764705882353,0.565294117647059,2.0194117647058825,SM12,1.976379637263103,0.9153366465244295,2.768061543008456
1,1.3541176470588236,0.7358823529411765,2.0605882352941176,SM04,1.9511746085220503,1.0019040696123969,2.6885224457267363
4,1.3958823529411768,0.6400000000000001,2.288235294117647,SM09,2.2253472960945433,0.9456277093581186,3.1910933033348043
3,1.5647058823529412,0.8647058823529412,2.4288235294117646,SM08,2.270356281965195,1.1545510968745027,3.1590886623313676
9,1.654705882352941,0.8688235294117647,2.6299999999999994,SM15,2.494335936618378,1.0743479554649713,3.6317302633706636
5,1.7988235294117647,0.7576470588235296,3.1882352941176473,SM11,3.1222145232849976,0.9341211660920529,4.800708281076866
