,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,0.6076470588235295,0.3752941176470588,0.903529411764706,SM07,0.824574756715099,0.4708752801026666,1.1912647752308816
1,0.6276470588235294,0.41352941176470587,0.8735294117647059,SM04,0.7933065574654271,0.5139066063011839,1.068938450877648
6,0.6329411764705883,0.3958823529411765,0.93,SM12,0.8510201490667815,0.45347676508349166,1.2051799963198078
10,0.6599999999999999,0.35941176470588226,1.0241176470588234,SM16,0.9635778914759182,0.49156413021867956,1.3571098182621513
8,0.7358823529411764,0.4729411764705882,1.0252941176470587,SM14,0.9361403866565163,0.5995586612128075,1.2157955516983159
0,0.7788235294117647,0.4499999999999999,1.21,SM02,1.1278871449594174,0.546954132930186,1.6741055557415445
7,0.79,0.45588235294117657,1.1500000000000004,SM13,1.0771667629917467,0.6564969423341724,1.411813602094421
3,0.8729411764705881,0.4864705882352941,1.394705882352941,SM08,1.2894823402754894,0.6407486430180027,1.9548326240973406
4,0.9017647058823529,0.45058823529411773,1.505294117647059,SM09,1.451479974938359,0.6302753833234561,2.2322950469126135
9,0.9552941176470587,0.5776470588235292,1.508823529411765,SM15,1.3973083368517107,0.6657856924230904,2.158280906320638
5,0.9617647058823531,0.51,1.484705882352941,SM11,1.401371177265534,0.7211632759564475,1.9468511529556403
