,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,0.26111111111111107,0.1444444444444444,0.3944444444444443,SM14,0.3238140755982598,0.17355754729259754,0.4418898807018176
7,0.5722222222222222,0.421111111111111,0.7255555555555555,SM13,0.6183580408361053,0.46690470119714994,0.7654555651520355
3,0.6333333333333334,0.3933333333333334,0.857777777777778,SM08,0.7283161706597242,0.5121740155671921,0.8907736961640583
10,0.7066666666666667,0.49555555555555575,0.8933333333333334,SM16,0.7688664094337557,0.5849786320883867,0.9090410087314851
5,0.7933333333333334,0.6422222222222224,0.9288888888888889,SM11,0.8234345416877072,0.6813303979062664,0.9337499070355451
9,1.0799999999999998,0.9155555555555553,1.2311111111111108,SM15,1.1071886319262252,0.9490463049234682,1.2378924742390904
4,1.4655555555555555,1.0899999999999999,1.7399999999999995,SM09,1.5543022729043263,1.2860533944332686,1.7479988558348656
6,1.6855555555555557,1.338888888888889,1.9455555555555553,SM12,1.7527977635768481,1.4874624178258906,1.9462128466445916
2,2.0266666666666664,1.5322222222222222,2.3255555555555554,SM07,2.1365496587826933,1.8201220960266498,2.327724210468242
1,2.292222222222222,1.8155555555555556,2.578888888888889,SM04,2.3812858337927896,2.043221856665486,2.580510285453893
0,2.871111111111111,2.13,3.3222222222222224,SM02,3.0434191298603612,2.5828795300336145,3.3253738302800047
