,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM07,0.4574999999999999,0.20374999999999988,0.7324999999999999,0.5992078103629824,0.3145433197510321,0.8278662331560576
10,SM16,0.585,0.28749999999999987,0.9224999999999999,0.7487990384609211,0.3553343495920426,1.0607780163634613
9,SM15,0.6125,0.4174999999999999,0.7875,0.6694960791520739,0.49498737357633665,0.8058380730643099
0,SM02,0.7000000000000002,0.42375000000000007,1.0200000000000002,0.8234986338786484,0.4576024475459019,1.127059226482797
8,SM14,0.7275,0.4574999999999999,1.01125,0.831594853278927,0.5321184078755404,1.0836454678537626
1,SM04,0.80375,0.4737499999999999,1.17625,0.9514134222303151,0.5391080596689315,1.303480916622871
6,SM12,1.1412499999999999,0.7374999999999997,1.5425,1.2821710104350355,0.8705745229444748,1.6106947258869384
5,SM11,1.18625,0.8587500000000001,1.49125,1.2743871075932933,0.9634443419315929,1.5288435171723758
4,SM09,1.5212500000000002,1.0837500000000002,1.9950000000000003,1.6589040056615696,1.15135246558124,2.0953042738466414
7,SM13,2.3262500000000004,1.6812500000000004,2.9662500000000005,2.4978515768555987,1.795831979891215,3.0363526639703764
3,SM08,5.57,5.25875,5.8825,5.588170541420511,5.26929074923751,5.899505275868479
