,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM07,0.4574999999999999,0.19624999999999992,0.725,0.5992078103629824,0.30655342111938666,0.8224278083819878
10,SM16,0.585,0.28749999999999987,0.9374999999999999,0.7487990384609211,0.3575961409187744,1.0694215726269973
9,SM15,0.6125,0.4174999999999999,0.7875,0.6694960791520739,0.500262431129902,0.8066210386544601
0,SM02,0.7000000000000002,0.42749999999999994,1.0325000000000002,0.8234986338786484,0.45831212072123956,1.1346640471963498
8,SM14,0.7275,0.45499999999999996,1.01875,0.831594853278927,0.5237485083510978,1.0884449917198389
1,SM04,0.80375,0.47375,1.18125,0.9514134222303151,0.5435416267407678,1.3094512209318834
6,SM12,1.1412499999999999,0.7337499999999998,1.5425,1.2821710104350355,0.8723388103254376,1.6097321205716186
5,SM11,1.18625,0.8525,1.495,1.2743871075932933,0.9647992019068009,1.528009325887771
4,SM09,1.5212500000000002,1.0750000000000002,2.00875,1.6589040056615696,1.1465491703367985,2.099074200689438
7,SM13,2.3262500000000004,1.6925000000000003,2.9537500000000003,2.4978515768555987,1.7961590965167873,3.0263406120263463
3,SM08,5.57,5.268750000000001,5.890000000000001,5.588170541420511,5.2830708399566255,5.905232848923065
