,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
9,SM15,0.5376923076923077,0.3130769230769231,0.7930769230769231,0.6946886408257356,0.4140419896952111,0.9350853519249541
5,SM11,1.0530769230769232,0.7553846153846153,1.3900000000000001,1.2047885227770825,0.8165829365763727,1.5505730950448362
2,SM07,1.113076923076923,0.6384615384615384,1.6592307692307695,1.4658077321710061,0.799268896699208,2.0160566994468723
8,SM14,1.1930769230769231,0.8023076923076926,1.6207692307692303,1.4105127272896738,0.9333727097920828,1.8255515499537285
1,SM04,1.276153846153846,0.7846153846153846,1.7984615384615383,1.5814282736233676,1.051091008282493,2.045689652377934
6,SM12,1.4092307692307693,0.8569230769230767,1.988461538461539,1.7661997447801703,1.17724907501148,2.236442917464455
0,SM02,1.4646153846153847,0.9307692307692306,2.022307692307692,1.7806610699832368,1.164853903021583,2.270621737965854
10,SM16,1.5746153846153843,1.0592307692307692,2.1584615384615384,1.8684938401742808,1.2362785347099638,2.4704203939971277
4,SM09,1.6500000000000001,1.0446153846153845,2.292307692307693,2.0124286896109465,1.3698146983049595,2.5795676441545843
7,SM13,2.4607692307692313,1.5807692307692305,3.3830769230769233,2.9690259993161705,1.9721659315428968,3.84244413402159
3,SM08,4.558461538461539,2.753076923076923,6.283076923076923,5.637709573112935,4.1845779127281535,6.756289377598192
