ID,name,category,type,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,ES,ES_lower_bound,ES_upper_bound
hmz0n,cosmotherm_FINE19,Physical,Standard,0.3844476557348217,0.22679586335813895,0.5484109275484447,0.30909090909090914,0.18909090909090914,0.45999999999999996,-0.16727272727272724,-0.3772727272727273,0.029090909090909136,0.7673011769252525,0.33789864754490007,0.9410500325514393,0.935799511129796,0.5801320924647252,1.1626477468058338,0.6363636363636364,0.14893617021276598,0.96078431372549,1.1543668757008183,0.9283608123260936,1.3307307889308806
gmoq5,Global XGBoost-Based QSPR LogP Predictor,Empirical,Standard,0.3922313788383773,0.27660276735616907,0.48402667094057766,0.3427272727272729,0.23090909090909098,0.4545454545454547,0.011818181818181728,-0.21363636363636385,0.2481818181818181,0.7405899982653635,0.38671789116528593,0.9232259281213315,0.993786809433632,0.6621193541794397,1.3352101456490846,0.587180674734059,0.12,0.8947368421052632,0.6941871893904787,0.3898833008015284,0.9897697855669535
3vqbi,cosmoquick_TZVP18+ML,Mixed,Standard,0.40913434112881447,0.2859752055368055,0.5272053248455051,0.35545454545454547,0.24090909090909082,0.47727272727272735,-0.07909090909090916,-0.3054545454545456,0.17454545454545445,0.6602947395349474,0.26175374462624906,0.9258308265007262,0.7835093737327137,0.5025049881701321,1.0939771486450482,0.5636363636363636,0.12,0.9130434782608695,1.0621980425543698,0.8619682434209616,1.263479934105791
sq07q,Local XGBoost-Based QSPR LogP Predictor,Empirical,Standard,0.46537375008988985,0.3306467491557609,0.5760208329565867,0.4081818181818182,0.2772727272727273,0.5409090909090909,0.028181818181818145,-0.239090909090909,0.3027272727272727,0.6402440955993481,0.2105376845103045,0.8893006632607232,0.9241990750903143,0.5152880592211138,1.29397403741066,0.5636363636363636,0.10204081632653061,0.8750000000000001,0.603347315087836,0.3236568517518724,0.9195287733433006
j8nwc,EC_RISM_wet_P1w+2o,Physical,Standard,0.47142916174697397,0.1676576598580898,0.7497939110788437,0.3100000000000001,0.1500000000000002,0.5481818181818181,0.07181818181818177,-0.15363636363636374,0.3790909090909091,0.7355768059588679,0.32242424416800025,0.9715664821643789,1.141690508700327,0.8288765840592437,1.3775829680651224,0.8073734277593311,0.45454545454545453,1.0,1.3081938618713405,1.0691750764843504,1.4620208480418624
xxh4i,SM12-Solvation-Trained,Mixed,Standard,0.4896288018860448,0.3392907039961187,0.6220786270093341,0.4281818181818183,0.29363636363636364,0.5754545454545454,0.18454545454545457,-0.0990909090909091,0.4336363636363636,0.543402351332597,0.15673283506960273,0.8610020695651497,0.6022051245800513,0.28424590835521585,1.0225172558111726,0.5137830903923016,0.019607843137254898,0.8750000000000001,1.4097207802095884,1.349723825740272,1.4587261375749272
hdpuj,"RayLogP-II, a cheminformatic QSPR model predicting the octanol/water partition coefficient, logP.",Empirical,Standard,0.4915374766069124,0.36461685993033094,0.6053173472725615,0.4445454545454546,0.31909090909090915,0.57,-0.29000000000000004,-0.5100000000000001,-0.049090909090909074,0.7444065905125881,0.3905554356269656,0.9424982778371866,1.0157971300268247,0.6851546341973753,1.3623524119662134,0.6727272727272727,0.22448979591836735,0.9999999999999999,0.9075958303916277,0.6737267605243851,1.1218350706701552
dqxk4,LogP_SMD_Solvation_DFT,Physical,Standard,0.49464404097565684,0.3359924241570176,0.6229183515736816,0.4181818181818182,0.2663636363636364,0.5754545454545453,0.3018181818181818,0.06818181818181812,0.5245454545454545,0.6858285925616755,0.35855346582226827,0.9103153542284206,0.8328484316344409,0.4906832472964527,1.2531156338309595,0.6727272727272727,0.27999999999999997,0.9583333333333335,1.1291720309536664,0.9268657336268118,1.3144787297368385
vzgyt,rfs-logp,Empirical,Standard,0.4957730419162675,0.26971365287180876,0.6786952723625475,0.3809090909090909,0.20818181818181802,0.5763636363636363,-0.3463636363636365,-0.5581818181818182,-0.14818181818181833,0.7191793534080028,0.29616632614272637,0.9548125724967768,0.760663806862785,0.49490803563031543,0.9742453530786537,0.6363636363636364,0.2549019607843137,0.9199999999999999,1.1681271370627244,0.9437268989575981,1.3907277434001968
ypmr0,SM8-Solvation,Physical,Standard,0.49898077937112784,0.3521492452201068,0.6283962270588663,0.44363636363636355,0.3100000000000001,0.5809090909090909,0.07454545454545453,-0.2263636363636363,0.35181818181818186,0.6136656088565612,0.24990538166707577,0.8827615594622971,0.9285631903803437,0.5300143585101483,1.4977197871801369,0.6363636363636364,0.22448979591836735,0.9215686274509803,1.4767501418940434,1.4575909852291764,1.4924761548790788
yd6ub,S+logP,Empirical,Standard,0.5078117045448316,0.3240650888605278,0.6552931335738921,0.4054545454545455,0.2281818181818182,0.589090909090909,0.08545454545454546,-0.20818181818181822,0.3772727272727273,0.6329498837693808,0.20000541661084378,0.8909602809712952,0.9860259019357622,0.467134930626328,1.4073320326515966,0.5272727272727272,0.0,0.8695652173913043,0.728490939546216,0.3799714827581434,1.0988551573293466
7egyc,SMD-Solvation-Trained,Mixed,Standard,0.5185293890154418,0.3492719700905143,0.6654800044807029,0.44181818181818194,0.2845454545454547,0.6090909090909092,0.2727272727272727,0.010909090909090858,0.5299999999999998,0.5696257212574015,0.21852317843079738,0.8512903658490005,0.5046729145816512,0.32019479766552006,0.7731298203980366,0.45454545454545453,0.04166666666666667,0.8181818181818182,1.4490634993147558,1.4137630300261643,1.4812907512770466
