Predictions:
34Dichlorophenol,3.35,0.04,1.6
35Dichlorophenol,3.58,0.03,1.6
3Bromoquinoline,4.16,0.03,1.6
3Chlorophenol,2.25,0.08,1.6
4Butoxyphenol,2.6,0.14,1.6
4Chlorophenol,1.91,0.01,1.6
4Ethoxyphenol,1.62,0.08,1.6
4Methoxyphenol,1.24,0.01,1.6
4Pentoxyphenol,3.27,0.18,1.6
4Propoxyphenol,2.03,0.03,1.6
4lodophenol,3.22,0.07,1.6
Acebutolol,4.69,0.45,1.6
Amylobarbitone,2.7,0.03,1.6
Benzoicacid,0.76,0.22,1.6
Butobarbitone,1.87,0.49,1.6
Celiprolol,3.84,0.45,1.6
Chlorpromazine,5.62,0.17,1.6
Ketoprofen,2.9,0.43,1.6
NMethylaniline,0.56,0.1,1.6
Pentobarbitone,2.83,0.35,1.6
Pericyazine,6.76,0.36,1.6
Phenobarbitone,2.48,0.19,1.6
Phenol,0.56,0.07,1.6
Quinalbarbitone,2.34,0.39,1.6
Quinoline,2.21,0.17,1.6
Sulfamethazine,2.14,0.29,1.6
rPropranolol,3.36,0.34,1.6

Name:
YANK-SMIRNOFF_tip3pFB-wet_oct

Software:
YANK

Category:
Physical

Method:
Transfer free energies via YANK.
