Predictions:
34Dichlorophenol,4.06,0.45,1.6
35Dichlorophenol,2.66,0.2,1.6
3Bromoquinoline,4.22,0.1,1.6
3Chlorophenol,2.24,0.36,1.6
4Butoxyphenol,2.53,0.18,1.6
4Chlorophenol,1.48,0.08,1.6
4Ethoxyphenol,2.11,0.24,1.6
4Methoxyphenol,1.81,0.65,1.6
4Pentoxyphenol,3.52,0.24,1.6
4Propoxyphenol,1.57,0.44,1.6
4lodophenol,3.0,0.42,1.6
Acebutolol,4.86,0.69,1.6
Amylobarbitone,1.9,0.5,1.6
Benzoicacid,1.47,0.05,1.6
Butobarbitone,2.98,1.02,1.6
Celiprolol,3.37,0.26,1.6
Chlorpromazine,6.19,0.14,1.6
Ketoprofen,1.45,0.29,1.6
NMethylaniline,0.36,0.31,1.6
Pentobarbitone,2.21,0.46,1.6
Pericyazine,7.89,0.36,1.6
Phenobarbitone,1.57,0.54,1.6
Phenol,0.92,0.25,1.6
Quinalbarbitone,2.15,0.27,1.6
Quinoline,1.91,0.09,1.6
Sulfamethazine,1.22,0.42,1.6
rPropranolol,4.39,0.16,1.6

Name:
YANK-GAFF_OPC_wet_oct

Software:
YANK

Category:
Physical

Method:
Transfer free energies via YANK.
