Predictions:
34Dichlorophenol,2.94,0.05,1.6
35Dichlorophenol,3.01,0.08,1.6
3Bromoquinoline,3.6,0.1,1.6
3Chlorophenol,1.66,0.06,1.6
4Butoxyphenol,1.76,0.08,1.6
4Chlorophenol,1.46,0.04,1.6
4Ethoxyphenol,1.07,0.05,1.6
4Methoxyphenol,0.33,0.07,1.6
4Pentoxyphenol,2.29,0.1,1.6
4Propoxyphenol,1.16,0.08,1.6
4lodophenol,2.58,0.09,1.6
Acebutolol,2.71,0.31,1.6
Amylobarbitone,0.6,0.08,1.6
Benzoicacid,1.64,0.68,1.6
Butobarbitone,0.88,0.28,1.6
Celiprolol,2.43,0.3,1.6
Chlorpromazine,4.73,0.09,1.6
Ketoprofen,1.14,0.13,1.6
NMethylaniline,-0.17,0.05,1.6
Pentobarbitone,1.71,0.11,1.6
Pericyazine,5.53,0.09,1.6
Phenobarbitone,0.98,0.11,1.6
Phenol,-0.07,0.04,1.6
Quinalbarbitone,0.75,0.46,1.6
Quinoline,1.53,0.07,1.6
Sulfamethazine,1.06,0.15,1.6
rPropranolol,2.42,0.26,1.6

Name:
YANK-extra_mols_GAFF_tip3p_dry_octanol

Software:
YANK

Category:
Physical

Method:
Transfer free energies via YANK.
