,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
18,NMethylaniline,0.4937499999999999,0.2787499999999999,0.7825,0.6199294314678082,0.31408597549078815,0.925283740265655
23,Quinalbarbitone,0.76875,0.3799999999999999,1.25,0.9916463583354703,0.4793876302117109,1.4606633766888248
10,4lodophenol,0.95625,0.65875,1.29875,1.0628558227718377,0.673535448213381,1.3897436814031572
19,Pentobarbitone,0.97125,0.61625,1.3762500000000002,1.1197265291132474,0.6680381725620176,1.4916056784552678
22,Phenol,1.0125,0.3875,1.7462499999999999,1.40619166545674,0.46413898780429974,2.0851378851289426
17,Ketoprofen,1.0162499999999999,0.61625,1.3762499999999998,1.1572542935759624,0.7883923515610739,1.4280274857298787
3,3Chlorophenol,1.02125,0.5925,1.43125,1.189322286009978,0.7856446397704244,1.4973059139668152
21,Phenobarbitone,1.0524999999999998,0.62625,1.53125,1.2380327136227054,0.746826619771952,1.6956193558697068
12,Amylobarbitone,1.0662500000000001,0.8262500000000002,1.36,1.1323923789923707,0.8643711587044075,1.4340589248702442
14,Butobarbitone,1.075,0.5225,1.69125,1.373990538540932,0.6164008436074694,1.9281953998492993
9,4Propoxyphenol,1.0899999999999999,0.8587499999999999,1.3275000000000001,1.1418406193510546,0.8977402185487737,1.363423998615251
8,4Pentoxyphenol,1.09625,0.52125,1.75,1.4151457522107043,0.6323962365479413,1.9861803795224642
1,35Dichlorophenol,1.12,0.76625,1.4925000000000002,1.2365273955719704,0.8421475523920973,1.5805774261326146
24,Quinoline,1.13375,0.7437500000000001,1.5425,1.2715984035850312,0.8472602905837142,1.6167830714106328
5,4Chlorophenol,1.22125,0.7137499999999999,1.685,1.408239148724392,0.9304568770233256,1.7557868606411202
0,34Dichlorophenol,1.2987499999999998,0.7137499999999999,1.915,1.5653713616902538,0.9398803115290797,2.05722507276185
6,4Ethoxyphenol,1.455,1.0199999999999998,1.91875,1.5943337166352596,1.1171112299140136,2.011190567798089
7,4Methoxyphenol,1.5225,0.94625,1.9925000000000002,1.6995072815377992,1.258784135584811,2.005137152416263
2,3Bromoquinoline,1.6149999999999998,0.94,2.32,1.8963188023114677,1.1603824800469884,2.527671853702533
25,Sulfamethazine,1.6225,1.245,2.09,1.7363179432350517,1.2962542188938093,2.2257358333818504
4,4Butoxyphenol,1.6324999999999998,1.08,2.3062500000000004,1.8578213046469243,1.1534892717316447,2.539741620716564
13,Benzoicacid,1.70625,0.5525,3.17,2.586525178690515,0.6602461662137843,3.888137407551333
26,rPropranolol,2.225,1.58875,2.9,2.421476822106708,1.7059601402143019,3.038554343762836
16,Chlorpromazine,2.31,1.7287500000000002,2.985,2.4829569065934267,1.78106007759424,3.1316309648488274
20,Pericyazine,3.7287500000000002,3.1712500000000006,4.29125,3.816164632192904,3.2163216567998916,4.3508706025346235
11,Acebutolol,4.2925,3.415,5.38875,4.533103241709811,3.4817111453996294,5.69274648126895
15,Celiprolol,4.297499999999999,3.54125,5.15875,4.453389158831731,3.603909335707545,5.28598855466033
