,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
10,0.8538888888888889,0.5077777777777777,1.241111111111111,SM16,1.1779478388753515,0.7126008700527947,1.557394547883669
8,1.0127777777777776,0.40944444444444444,1.8333333333333333,SM14,1.8779436152936602,0.4809712396114068,2.911895144632329
2,1.1088888888888888,0.5533333333333333,1.7722222222222224,SM07,1.7198384937093494,0.8114116642548891,2.423210680068904
0,1.1205555555555555,0.5933333333333333,1.7061111111111114,SM02,1.6453689218193253,0.9579665964948882,2.188019144746631
6,1.1883333333333335,0.5494444444444444,1.933888888888889,SM12,1.923753564721266,0.8836288813749809,2.697161058924323
7,1.2105555555555556,0.6811111111111111,1.8555555555555552,SM13,1.7551907145505428,0.8075649268703483,2.467102438984738
1,1.3066666666666669,0.7377777777777776,1.9894444444444441,SM04,1.899859643938643,0.9856075396537012,2.6298753667131156
4,1.3261111111111115,0.6116666666666668,2.1944444444444446,SM09,2.1629005730474273,0.9134884296536607,3.109690052436452
3,1.4833333333333334,0.8077777777777777,2.292222222222222,SM08,2.2065156040941813,1.098415525503289,3.057824208303821
9,1.6105555555555555,0.8833333333333332,2.545,SM15,2.432519270221718,1.0769504270031292,3.5514981189476766
5,1.731111111111111,0.7438888888888889,3.048888888888889,SM11,3.037325212163565,0.9239408350466315,4.662790652245355
