,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,0.6076470588235295,0.3788235294117647,0.8994117647058825,SM07,0.824574756715099,0.4761734730857949,1.1904102110567751
1,0.6276470588235294,0.41823529411764715,0.8788235294117647,SM04,0.7933065574654271,0.51890722280804,1.0743972318303439
6,0.6329411764705883,0.39470588235294124,0.9282352941176472,SM12,0.8510201490667815,0.4498823375584541,1.204188767691882
10,0.6599999999999999,0.3605882352941176,1.0176470588235293,SM16,0.9635778914759182,0.4971802844986088,1.3483104896390103
8,0.7358823529411764,0.4752941176470589,1.0241176470588236,SM14,0.9361403866565163,0.6139984671373853,1.2205374900861843
0,0.7788235294117647,0.4476470588235295,1.2023529411764704,SM02,1.1278871449594174,0.5469702648117493,1.668266095293518
7,0.79,0.45705882352941196,1.154705882352941,SM13,1.0771667629917467,0.6521277392009132,1.417709420156331
3,0.8729411764705881,0.4870588235294117,1.3894117647058821,SM08,1.2894823402754894,0.6419089178563648,1.9364673718792529
4,0.9017647058823529,0.44882352941176473,1.5200000000000002,SM09,1.451479974938359,0.6254269130197483,2.2341625618878265
9,0.9552941176470587,0.58,1.5217647058823527,SM15,1.3973083368517107,0.6691873913231496,2.165461504948025
5,0.9617647058823531,0.5199999999999999,1.491176470588235,SM11,1.401371177265534,0.7531385311208181,1.9596533306864732
