,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,1.1770967741935483,0.8819354838709677,1.5119354838709678,SM14,1.4814781197691846,1.095237490816637,1.8974856028184313
5,1.2261290322580642,0.8906451612903226,1.5867741935483868,SM11,1.58155599168626,1.2148768688437577,1.9113270174781538
3,1.2887096774193547,0.869032258064516,1.7651612903225808,SM08,1.8134364099419713,1.1854208453731363,2.3942963138905085
10,1.2996774193548386,1.0154838709677416,1.6058064516129034,SM16,1.54189138147214,1.1935228419236676,1.8693573158156649
2,1.5619354838709678,1.1629032258064516,1.9906451612903224,SM07,1.9577109740879823,1.4875298858477843,2.394212780583563
9,1.622258064516129,1.233548387096774,2.023225806451612,SM15,1.9784394306233286,1.5925036081389217,2.3266215295865127
1,1.9893548387096776,1.6058064516129034,2.4054838709677417,SM04,2.2953494357631183,1.8660178403876961,2.7372236935236214
0,2.0300000000000002,1.771935483870968,2.290322580645161,SM02,2.1613294892936437,1.9080660704053878,2.4023476421093566
7,2.054193548387097,1.6061290322580646,2.541612903225807,SM13,2.4454460639345337,1.9245007731374004,2.977089940886743
6,2.126774193548387,1.730967741935484,2.5322580645161286,SM12,2.4080181919792936,2.0029534644232654,2.777282264047633
4,2.1738709677419354,1.7951612903225809,2.5548387096774183,SM09,2.4264822540114026,2.0530135206883156,2.7771661118671362
