,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,0.4427999999999999,0.2812,0.6456000000000002,SM14,0.6403530276339764,0.34156112190938825,0.901656253790767
7,0.6736,0.5448,0.8203999999999999,SM13,0.7590625797653313,0.6031881961709794,0.9233244283565771
10,0.8256,0.6460000000000001,1.0136,SM16,0.9516806186951589,0.7702181509157,1.1402017365361272
5,0.9432000000000003,0.7192000000000001,1.1728,SM11,1.1094286817997812,0.8820589549457565,1.310914184834385
3,0.9716000000000001,0.7488000000000001,1.1896,SM08,1.119769619162799,0.9150300541512284,1.3037177608669754
4,1.0639999999999998,0.852,1.2820000000000003,SM09,1.1963678364115278,1.0037370173506603,1.3751421744677892
6,1.0812,0.8144000000000001,1.3436000000000001,SM12,1.275543805598224,1.0319941860301347,1.4855571345458243
2,1.1136,0.7988,1.4407999999999999,SM07,1.3855424930329636,1.0371923640289682,1.6771380384452557
9,1.2535999999999998,1.0484,1.4764000000000002,SM15,1.3664142856396078,1.1411713280660356,1.6033814268601216
1,1.4651999999999998,1.0968,1.8315999999999997,SM04,1.7391020671599466,1.4095304182599253,2.0260039486634764
0,1.5951999999999997,1.1467999999999998,2.0768,SM02,2.000933782012788,1.5226214237294835,2.4235370845109836
