,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,0.8604395604395604,0.6704395604395605,1.0792307692307692,SM14,1.3121059324696227,0.9345657744713247,1.682426296084985
10,0.9617582417582415,0.8096703296703295,1.1251648351648351,SM16,1.2274470960601005,1.035919191553362,1.4145018149919018
3,1.1624175824175826,0.9350549450549451,1.4228571428571428,SM08,1.6548164799812646,1.2924165966671348,2.0140304568994685
2,1.1708791208791207,0.9613186813186814,1.4012087912087912,SM07,1.5953390214642758,1.322284071156862,1.8678259090112297
5,1.198901098901099,0.9368131868131868,1.5080219780219781,SM11,1.8389951866993282,1.2530670066189291,2.4422566577691183
7,1.2718681318681317,1.0375824175824178,1.5275824175824178,SM13,1.7382832253199052,1.4035496600945934,2.070732736480994
6,1.3748351648351647,1.1317582417582417,1.6248351648351649,SM12,1.8137366565575774,1.5231968262271856,2.089686342729217
9,1.3940659340659338,1.165054945054945,1.6546153846153853,SM15,1.8388924043361738,1.4744430872646177,2.2254546393149313
1,1.4559340659340658,1.227142857142857,1.694725274725275,SM04,1.8593644784539323,1.5908809502292112,2.12702469800754
4,1.463626373626374,1.2127472527472525,1.7283516483516483,SM09,1.928179406636173,1.6047145513170842,2.245592997871144
0,1.4969230769230772,1.2716483516483517,1.7292307692307691,SM02,1.8612934177107023,1.6342992583777507,2.0708890165050655
