ID,name,category,reassigned_category,type,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound,ES,ES_lower_bound,ES_upper_bound
hmz0n,cosmotherm_FINE19,Physical,Physical (QM),Standard,0.3844476557348217,0.23237900077244497,0.5604138081486182,0.30909090909090914,0.19363636363636372,0.4736363636363636,-0.16727272727272724,-0.38272727272727264,0.03818181818181818,0.7673011769252525,0.3433188272825689,0.9457470518754875,0.935799511129796,0.616722100278925,1.1672369990148803,0.6363636363636364,0.1764705882352941,0.9999999999999999,1.1543668757008183,0.9005634231764889,1.3288204105929098
gmoq5,Global XGBoost-Based QSPR LogP Predictor,Empirical,Empirical,Standard,0.3922313788383773,0.28190907625106243,0.48744230427815777,0.3427272727272729,0.23363636363636384,0.4590909090909093,0.011818181818181728,-0.20909090909090924,0.25090909090909097,0.7405899982653635,0.37268666918580584,0.9198441830670282,0.993786809433632,0.6663432204223826,1.316864393575651,0.587180674734059,0.09090909090909091,0.9069767441860466,0.6941871893904787,0.3888035217409362,1.0086520758060276
3vqbi,cosmoquick_TZVP18+ML,Mixed,Mixed,Standard,0.40913434112881447,0.2922949942033966,0.5235803315980879,0.35545454545454547,0.24363636363636362,0.4709090909090909,-0.07909090909090916,-0.30000000000000004,0.15636363636363626,0.6602947395349474,0.25754121905577176,0.9270855971250299,0.7835093737327137,0.4942696276745342,1.1346589611220248,0.5636363636363636,0.13043478260869565,0.88,1.0621980425543698,0.8577875603914894,1.2442930907983445
sq07q,Local XGBoost-Based QSPR LogP Predictor,Empirical,Empirical,Standard,0.46537375008988985,0.3280382461072046,0.5765729473677754,0.4081818181818182,0.2754545454545454,0.5409090909090909,0.028181818181818145,-0.25363636363636366,0.32454545454545447,0.6402440955993481,0.18706701772203924,0.8820030617786996,0.9241990750903143,0.435738811271608,1.2982642242176425,0.5636363636363636,0.08,0.8823529411764705,0.603347315087836,0.30970278389191136,0.9250107285739997
j8nwc,EC_RISM_wet_P1w+2o,Physical,Physical (QM),Standard,0.47142916174697397,0.17122552910761252,0.7624243628655297,0.3100000000000001,0.15363636363636385,0.5645454545454546,0.07181818181818177,-0.15909090909090917,0.41545454545454547,0.7355768059588679,0.314587479869289,0.971909611698852,1.141690508700327,0.8108812896343269,1.4144560397248995,0.8073734277593311,0.4139246909027841,1.0,1.3081938618713405,1.0580173595248974,1.4672813101319273
xxh4i,SM12-Solvation-Trained,Mixed,Mixed,Standard,0.4896288018860448,0.3380021516876106,0.6228015881336674,0.4281818181818183,0.29,0.5800000000000001,0.18454545454545457,-0.08181818181818185,0.4500000000000001,0.543402351332597,0.15995403593346585,0.8663573668377428,0.6022051245800513,0.2984338099931195,1.0651301456255013,0.5137830903923016,-0.02040816326530612,0.8738275920531945,1.4097207802095884,1.3532954026330002,1.4598059166355197
hdpuj,"RayLogP-II, a cheminformatic QSPR model predicting the octanol/water partition coefficient, logP.",Empirical,Empirical,Standard,0.4915374766069124,0.36492838649895043,0.6033467267892257,0.4445454545454546,0.3227272727272728,0.5672727272727273,-0.29000000000000004,-0.5127272727272728,-0.02000000000000006,0.7444065905125881,0.3544253119389074,0.9505411297516292,1.0157971300268247,0.655323485904777,1.3711722613911403,0.6727272727272727,0.19999999999999998,0.9615384615384616,0.9075958303916277,0.6986447388457439,1.1150795298808092
dqxk4,LogP_SMD_Solvation_DFT,Physical,Physical (QM),Standard,0.49464404097565684,0.34951915021016583,0.618759756580562,0.4181818181818182,0.2736363636363637,0.579090909090909,0.3018181818181818,0.056363636363636394,0.5218181818181818,0.6858285925616755,0.31804971317137165,0.9091281902690105,0.8328484316344409,0.4778276891393134,1.2682289519030856,0.6727272727272727,0.29411764705882354,0.9565217391304348,1.1291720309536664,0.9348948599748053,1.310270360064787
vzgyt,rfs-logp,Empirical,Empirical,Standard,0.4957730419162675,0.27124293036451164,0.6895980383857355,0.3809090909090909,0.20818181818181822,0.588181818181818,-0.3463636363636365,-0.5636363636363636,-0.1427272727272729,0.7191793534080028,0.28304898850950116,0.9553025748401242,0.760663806862785,0.5059395825661377,0.980963410661938,0.6363636363636364,0.25000000000000006,0.9555555555555554,1.1681271370627244,0.919750266483935,1.3837783961127956
ypmr0,SM8-Solvation,Physical,Physical (QM),Standard,0.49898077937112784,0.34881617977485974,0.6334465608514624,0.44363636363636355,0.3145454545454546,0.5827272727272728,0.07454545454545453,-0.2072727272727274,0.37272727272727263,0.6136656088565612,0.24741827349570192,0.8963285479275168,0.9285631903803437,0.5336450964833791,1.5199011661566455,0.6363636363636364,0.21739130434782608,0.9591836734693878,1.4767501418940434,1.458144718080762,1.4913133158907486
