,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
10,0.7925,0.5104166666666666,1.11,SM16,1.090424229371303,0.7051418297052019,1.4211834856907113
2,0.9170833333333333,0.4895833333333333,1.4358333333333333,SM07,1.5009982789241743,0.6969756093293366,2.1197955876294614
8,0.9329166666666665,0.47541666666666665,1.5658333333333332,SM14,1.6697167923533223,0.5575130790693016,2.578639822335282
0,1.0,0.5933333333333334,1.4495833333333332,SM02,1.4717449960279578,0.8969183351899992,1.942543435807807
6,1.0095833333333333,0.5266666666666667,1.5991666666666668,SM12,1.6942070416569517,0.8263196516280287,2.3831185800682824
7,1.0929166666666668,0.6766666666666667,1.5958333333333332,SM13,1.5878877479217477,0.8348078621255712,2.195651953293144
1,1.0991666666666668,0.6391666666666667,1.6495833333333334,SM04,1.6759350623855727,0.8831053164826945,2.332178881075235
4,1.0995833333333334,0.5570833333333334,1.7666666666666668,SM09,1.8879188277041998,0.81029829898213,2.7167313386985223
3,1.2220833333333334,0.69125,1.8720833333333333,SM08,1.9290660520918752,0.9485888642258739,2.6916916923501226
9,1.2974999999999999,0.7179166666666665,2.0425,SM15,2.118055318761371,0.9155349073993118,3.1097836205541163
5,1.4820833333333334,0.7375000000000002,2.4791666666666665,SM11,2.6603265776968064,0.8793510865026173,4.062858702112754
