,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,0.6076470588235295,0.3794117647058824,0.9088235294117649,SM07,0.824574756715099,0.4789264956496918,1.1949083154589484
1,0.6276470588235294,0.4129411764705882,0.8717647058823529,SM04,0.7933065574654271,0.5094980228559457,1.0654686900194508
6,0.6329411764705883,0.39588235294117646,0.9241176470588235,SM12,0.8510201490667815,0.4504507546368872,1.2013350416736128
10,0.6599999999999999,0.3476470588235293,1.0211764705882354,SM16,0.9635778914759182,0.4819934097670044,1.3553076490337577
8,0.7358823529411764,0.4752941176470588,1.0194117647058822,SM14,0.9361403866565163,0.611834272062777,1.2142390500178437
0,0.7788235294117647,0.44764705882352956,1.2094117647058822,SM02,1.1278871449594174,0.5450310298775765,1.6752734631905883
7,0.79,0.45882352941176485,1.1517647058823528,SM13,1.0771667629917467,0.6555733906956837,1.4129651758749378
3,0.8729411764705881,0.4876470588235294,1.3747058823529412,SM08,1.2894823402754894,0.6464700529891271,1.9297988313323657
4,0.9017647058823529,0.44647058823529423,1.5211764705882356,SM09,1.451479974938359,0.6269158870309195,2.23891255116512
9,0.9552941176470587,0.5841176470588235,1.5141176470588236,SM15,1.3973083368517107,0.6727948730307556,2.1611475709745993
5,0.9617647058823531,0.5182352941176471,1.4858823529411767,SM11,1.401371177265534,0.7398211230545172,1.9492970075207656
