,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,1.0848717948717947,0.8341025641025641,1.3723076923076918,SM14,1.3734711780460036,1.0291731807122821,1.7448135599468382
10,1.1530769230769229,0.9097435897435897,1.4238461538461538,SM16,1.4158978305890106,1.1152302280419326,1.7124019717404297
5,1.2179487179487176,0.9407692307692307,1.5151282051282051,SM11,1.523604026894531,1.2170108399744781,1.8084318181854797
2,1.3353846153846156,0.9933333333333332,1.7133333333333336,SM07,1.7663812057714394,1.3315558665114378,2.1768684871292545
9,1.415128205128205,1.0833333333333333,1.7715384615384617,SM15,1.7897621959212118,1.4339929907206301,2.1214563212748274
1,1.746153846153846,1.3887179487179488,2.112307692307692,SM04,2.091306793027772,1.6796122873739152,2.491300247476591
0,1.7571794871794875,1.4853846153846155,2.032564102564102,SM02,1.9627094041472886,1.6988427433599225,2.209633917933478
6,1.9246153846153844,1.5761538461538462,2.273846153846154,SM12,2.2240342185155795,1.8520453004372748,2.5567016010717944
4,2.0399999999999996,1.7087179487179487,2.375128205128205,SM09,2.2901013301956974,1.9459379124150797,2.613549016479021
7,2.11,1.7215384615384612,2.5100000000000002,SM13,2.456287066661011,2.022781786017996,2.8972900689419663
3,2.1669230769230774,1.546153846153846,2.8474358974358975,SM08,3.0032730009023023,2.286289682612532,3.654499158922342
