,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,0.4427999999999999,0.284,0.6432000000000001,SM14,0.6403530276339764,0.34260764731686894,0.8986033607771562
7,0.6736,0.5387999999999998,0.8195999999999998,SM13,0.7590625797653313,0.5992728927625542,0.9196825539282563
10,0.8256,0.644,1.0128,SM16,0.9516806186951589,0.7678463387944232,1.1383373840825928
5,0.9432000000000003,0.7196000000000001,1.1724,SM11,1.1094286817997812,0.8873601298232866,1.3104701446427538
3,0.9716000000000001,0.7556000000000002,1.1872,SM08,1.119769619162799,0.9198652075168405,1.2999538453345183
4,1.0639999999999998,0.8492000000000001,1.2691999999999997,SM09,1.1963678364115278,1.0034360966200089,1.3677879952682723
6,1.0812,0.8151999999999999,1.3388,SM12,1.275543805598224,1.032891088159831,1.47824219937059
2,1.1136,0.8059999999999999,1.4408,SM07,1.3855424930329636,1.0421497013385361,1.6839049854430623
9,1.2535999999999998,1.0492,1.4731999999999998,SM15,1.3664142856396078,1.1429295691336363,1.6051965611724937
1,1.4651999999999998,1.0963999999999998,1.832,SM04,1.7391020671599466,1.4079119290637465,2.0258854854112562
0,1.5951999999999997,1.1271999999999998,2.0716,SM02,2.000933782012788,1.507839514006713,2.417204170110584
