,MAE,MAE_lower_CI,MAE_upper_CI,Molecule ID,RMSE,RMSE_lower_CI,RMSE_upper_CI
8,0.8407619047619048,0.6736190476190477,1.0311428571428571,SM14,1.255960266280821,0.9158306144073336,1.5949721597809132
10,0.9128571428571428,0.7720952380952381,1.0588571428571427,SM16,1.1757433312387449,0.9980585916572997,1.349777406693062
2,1.069142857142857,0.8747619047619047,1.2739999999999998,SM07,1.49700590067864,1.2329836054986991,1.7493903700051243
5,1.1714285714285715,0.948190476190476,1.4433333333333331,SM11,1.7580985399545943,1.2325297253249206,2.3117089123066714
9,1.2753333333333332,1.0646666666666664,1.5062857142857142,SM15,1.725063697926764,1.3723445353880794,2.0795995493638397
6,1.3055238095238093,1.0942857142857143,1.5280952380952382,SM12,1.7314519093193763,1.470572936615101,1.9803616793283951
7,1.3218095238095238,1.1075238095238094,1.5579999999999998,SM13,1.772657676511525,1.4802033322357795,2.0638101610740223
1,1.350285714285714,1.1451428571428572,1.5694285714285714,SM04,1.757405555275812,1.504629364265341,2.009866851785153
0,1.387142857142857,1.181142857142857,1.5936190476190477,SM02,1.7564609981708212,1.5405537037979928,1.9565321605427535
4,1.4083809523809523,1.1821904761904762,1.65,SM09,1.8559495067023164,1.5562078450974528,2.1518463832585395
3,1.456857142857143,1.160952380952381,1.7784761904761905,SM08,2.183687357702672,1.7612922744934971,2.5820407211572567
