Molecule ID,pKa1,pKa2,pKa3,Assay Type,Experiment ID,Experimental Molecule ID,Experiment Report,canonical isomeric SMILES
SM01,9.54,,,UV-metric pKa,17I-15024,M01,SM01_17I-15024_M01_UV-metric pKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3
SM01,9.53,,,UV-metric pKa,17I-15025,M01,SM01_17I-15025_M01_UV-metric pKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3
SM01,9.53,,,UV-metric pKa,17I-16001,M01,SM01_17I-16001_M01_UV-metric pKa_report.pdf,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3
SM02,5.04,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17I-22022,M02,SM02_17I-22022_M02_UV-metric psKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F
SM02,5.04,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17I-22023,M02,SM02_17I-22023_M02_UV-metric psKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F
SM02,5.02,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17I-22024,M02,SM02_17I-22024_M02_UV-metric psKa_report.pdf,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F
SM03,7.01,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17I-19004,M03,SM03_17I-19004_M03_UV-metric psKa_report.pdf,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3
SM03,7.01,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17I-19005,M03,SM03_17I-19005_M03_UV-metric psKa_report.pdf,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3
SM03,7.03,,,"UV-metric psKa, Yasuda-Shedlovsky Extrapolation",17I-19006,M03,SM03_17I-19006_M03_UV-metric psKa_report.pdf,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3
SM04,6.03,,,UV-metric pKa,17I-18018,M04,SM04_17I-18018_M04_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl
SM04,6.02,,,UV-metric pKa,17I-18019,M04,SM04_17I-18019_M04_UV-metric pKa_report.pdf,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl
